unique_id,dataset,participant_id,sex,handedness,age,rs,pa,fi,rs_fi,rs_age,fi_age,rs_fi_age,pa_fi,pa_age,pa_fi_age,mean_acc_O+P+,mean_acc_O+P-,mean_acc_O-P+,mean_acc_O-P-,nci_acc,response_bias,exclude,preC_IFG,preC_TP,preC_vOT,postC_IFG,postC_TP,postC_vOT
ds001486_sub-0004,ds001486,sub-004,Female,right,9.93,117,15,119,13923,1161.81,1181.67,138255.38999999998,1785,148.95,17725.05,1,0.7,0.9,0.857,0.923,0.14300000000000002,NA,6.123163690567017,3.852173974514008,6.474600739479065,5.538912682914772,3.3788811049054344,5.909360441890515
ds001486_sub-0005,ds001486,sub-005,Male,right,11.98,113,11,113,12769,1353.74,1353.74,152972.62,1243,131.78,14891.140000000001,0.917,0.889,1,1,0.962,0.08299999999999996,NA,3.85336932182312,1.7917875516414643,3.6207693982124334,3.5503421631217824,1.605440522350639,3.4602537109920184
ds001486_sub-0006,ds001486,sub-006,Female,right,8.9,114,13,127,14478,1014.6,1130.3,128854.20000000001,1651,115.7,14693.900000000001,1,0.333,0.7,0.857,0.923,0.14300000000000002,NA,4.161717736721039,3.7024501228332523,3.877482352256775,3.828533117226869,3.2338233066099455,3.630411308340959
ds001486_sub-0007,ds001486,sub-007,Female,right,10.32,117,14,116,13572,1207.44,1197.1200000000001,140063.04,1624,144.48000000000002,16759.68,1,0.8,1,1,1,0,NA,6.534839205741882,1.8322661983966826,4.262261323928833,5.9083170985358375,1.6257251124041712,3.964404353359869
ds001486_sub-0008,ds001486,sub-008,Female,right,13.14,109,12,122,13298,1432.26,1603.0800000000002,174735.72,1464,157.68,19236.96,1,0.8,1,1,1,0,NA,2.738642771244049,1.6781994915008547,4.354220514297485,2.534791279874961,1.483875457800501,4.124671708213422
ds001486_sub-0009,ds001486,sub-009,Female,right,8.47,119,14,128,15232,1007.9300000000001,1084.16,129015.04000000001,1792,118.58000000000001,15178.240000000002,0.917,0.8,1,0.929,0.923,0.01200000000000001,NA,3.7388187932968138,4.467022488117218,3.993767955303192,3.4541598571143552,3.9161385653809577,3.695749524449556
ds001486_sub-0010,ds001486,sub-010,Male,right,10.62,123,12,124,15252,1306.26,1316.8799999999999,161976.24,1488,127.44,15802.56,1,0.9,0.9,0.929,0.962,0.07099999999999995,NA,3.990645864009857,2.57815450668335,3.3642756199836725,3.6157127305434296,2.2053055556732115,3.046570687321633
ds001486_sub-0012,ds001486,sub-012,Male,right,12.68,118,12,118,13924,1496.24,1496.24,176556.32,1416,152.16,17954.88,1,0.8,1,0.917,0.958,0.08299999999999996,NA,4.502491409778595,2.823367435932159,4.788611245155335,4.138777557449628,2.508029238321872,4.361311893467339
ds001486_sub-0013,ds001486,sub-013,Female,right,13.65,108,11,119,12852,1474.2,1624.3500000000001,175429.80000000002,1309,150.15,17867.850000000002,1,0.4,0.9,1,1,0,NA,6.616413545608521,1.947931272983551,8.964078230857849,6.011126879317162,1.6978547014756975,7.443479466096494
ds001486_sub-0014,ds001486,sub-014,Male,right,12.18,105,10,125,13125,1278.8999999999999,1522.5,159862.5,1250,121.8,15225,0.833,0.778,0.75,0.909,0.87,0.07600000000000007,NA,4.663747320175171,3.2824929881095883,6.123602232933044,4.243933487794367,2.8460602675578626,5.73268909782632
