unique_id,dataset,participant_id,age_ses-T1,sex,handedness,lives_with,mother_highest_grade,father_highest_grade,WJ-III_WordID_Raw,WJ-III_WordID_StS,WJ-III_WA_Raw,WJ-III_WA_StS,WJ-III_PassComp_Raw,WJ-III_PassComp_StS,WJ-III_MathFluency_Raw,WJ-III_MathFluency_StS,WJ-III_SpatialRelations_Raw,WJ-III_SpatialRelations_Letter,WJ-III_SpatialRelations_StS,WJ-III_BRS_StS,CTOPP_EL_Raw,CTOPP_EL_StS,CTOPP_BW_Raw,CTOPP_BW_StS,CTOPP_RD_Raw,CTOPP_RD_StS,CTOPP_RL_Raw,CTOPP_RL_StS,CTOPP_PhonAwareness_Comp,CTOPP_RapidNaming_Comp,WASI_Vocab_Raw,WASI_Vocab_T-Score,WASI_BD_Raw,WASI_BD_T-Score,WASI_Sim_Raw,WASI_Sim_T-Score,WASI_MR_Raw,WASI_MR_T-Score,WASI_Verbal_SumTScores,WASI_VIQ,WASI_Perf_SumTScores,WASI_PIQ,WASI_FSIQ_SumTScores,WASI_FSIQ
ds001486_sub-0001,ds001486,sub-001,8.36,male,left,Both Parents,5,5,58,123,21,109,33,121,53,112,75,D,130,118,16,12,15,11,29,13,32,13,109,118,36,62,36,72,28,68,24,65,130,126,137,134,267,134
ds001486_sub-0002,ds001486,sub-002,9.23,female,right,Both Parents,5,5,54,110,23,107,34,118,63,111,71,D,116,116,16,11,18,14,33,11,31,12,115,109,40,61,47,76,28,63,26,64,124,119,140,137,264,132
ds001486_sub-0003,ds001486,sub-003,10.68,female,right,Mother,2,n/a,63,119,29,116,34,109,65,99,70,D,108,119,17,11,18,13,32,10,34,10,112,100,35,45,53,73,28,44,25,56,99,99,129,126,228,112
ds001486_sub-0004,ds001486,sub-004,9.93,female,right,Both Parents,4,5,60,117,28,115,34,114,41,83,73,D,118,117,20,15,20,16,55,7,51,7,133,82,44,62,38,66,22,49,27,63,111,108,129,126,240,118
ds001486_sub-0005,ds001486,sub-005,11.98,male,right,Both Parents,3,3,63,113,27,107,32,98,126,130,70,D,106,111,18,11,18,13,28,11,34,9,112,100,37,43,26,49,36,67,28,59,110,108,108,106,218,108
ds001486_sub-0006,ds001486,sub-006,8.9,female,right,Mother,2,n/a,55,114,28,118,31,111,68,113,66,D,108,117,16,13,10,9,41,10,58,8,106,94,34,55,24,58,22,54,27,68,109,107,126,123,235,116
ds001486_sub-0007,ds001486,sub-007,10.32,female,right,Both Parents,5,5,61,117,23,103,33,108,100,128,69,D,108,111,20,14,18,13,29,11,33,10,121,103,50,68,28,57,33,68,27,61,136,132,118,115,254,126
ds001486_sub-0008,ds001486,sub-008,13.14,female,right,Both Parents,5,4,64,109,27,104,38,113,95,104,74,D,111,106,19,12,18,13,28,10,25,13,115,109,55,62,54,64,40,71,32,65,133,129,129,126,262,131
ds001486_sub-0009,ds001486,sub-009,8.47,female,right,Both Parents,5,4,53,119,22,113,30,115,56,118,63,D,107,118,18,14,12,9,39,10,37,11,109,103,35,61,28,66,22,58,26,69,119,115,135,132,254,126
ds001486_sub-0010,ds001486,sub-010,10.62,male,right,Time Split Evenly between Both Parents,3,5,65,123,28,113,34,110,56,93,73,D,115,120,18,12,16,11,42,7,40,8,109,85,52,68,24,52,36,73,30,66,141,137,118,115,259,129
ds001486_sub-0011,ds001486,sub-011,9.45,female,right,Mother and Fiancee,3,n/a,59,118,25,110,31,107,106,143,66,D,106,115,19,14,12,9,31,11,36,11,109,106,42,64,24,57,23,54,26,64,118,114,121,118,239,118
ds001486_sub-0012,ds001486,sub-012,12.68,male,right,Both Parents,4,4,67,118,31,123,39,118,64,85,77,D,121,123,19,12,18,12,24,12,28,11,115,109,56,64,44,59,42,75,30,62,139,135,121,118,260,129
ds001486_sub-0013,ds001486,sub-013,13.65,female,right,Mother,3,n/a,65,108,26,100,42,126,100,104,71,D,104,104,18,11,12,8,28,9,32,8,97,91,60,67,55,63,41,72,32,63,139,135,126,123,265,133
ds001486_sub-0014,ds001486,sub-014,12.18,male,right,Mother,3,5,60,105,29,113,36,110,42,71,69,D,103,110,17,10,8,6,51,5,53,5,88,57,48,57,63,74,37,69,32,67,126,121,141,138,267,134
ds001486_sub-0015,ds001486,sub-015,11.98,male,right,Mother,3,3,60,105,18,92,32,97,50,78,31,D,92,96,8,5,11,8,28,11,29,11,79,106,37,43,22,46,28,51,27,57,94,95,103,102,197,99
ds001486_sub-0016,ds001486,sub-016,12.82,female,right,Mother,5,n/a,65,112,29,112,31,93,97,106,64,D,95,116,19,12,15,10,32,8,25,13,106,103,50,55,44,58,35,61,24,49,116,112,107,105,223,109
ds001486_sub-0017,ds001486,sub-017,9.45,female,right,Both Parents,4,5,59,117,26,111,33,113,63,109,68,D,109,115,16,11,19,15,63,5,49,8,118,79,28,44,33,64,23,54,26,64,98,98,128,125,226,111
ds001486_sub-0018,ds001486,sub-018,12.18,female,right,Both Parents,5,5,65,117,29,113,38,117,79,100,72,D,109,117,17,10,19,14,24,13,27,12,112,115,51,60,23,47,32,59,24,51,119,115,98,98,217,107
ds001486_sub-0019,ds001486,sub-019,11.3,male,right,Both Parents,4,3,66,123,31,125,36,114,85,110,78,D,129,127,20,14,20,15,24,13,29,12,127,115,49,63,41,64,27,54,30,65,117,113,129,126,246,122
ds001486_sub-0020,ds001486,sub-020,10.98,male,right,n/a,n/a,n/a,58,106,25,104,33,103,89,112,74,D,116,106,15,9,17,12,25,13,27,13,103,118,49,63,22,50,30,60,28,61,123,119,111,108,234,115
ds001486_sub-0021,ds001486,sub-021,10.08,female,right,God Mother,1,n/a,64,125,28,116,32,109,36,84,73,D,119,122,18,13,18,14,23,15,31,12,121,121,43,63,34,63,31,67,23,56,130,126,119,116,249,124
ds001486_sub-0022,ds001486,sub-022,12.59,male,right,Mother,3,3,56,97,23,98,32,96,55,79,71,D,106,95,19,12,11,8,38,6,45,5,100,73,49,57,48,62,30,53,31,65,110,108,127,124,237,117
ds001486_sub-0023,ds001486,sub-023,11.38,male,right,Both Parents,4,4,62,114,27,109,29,93,61,92,67,D,102,112,18,11,12,8,26,12,35,9,97,103,47,58,49,68,33,64,23,51,122,119,119,116,241,119
ds001486_sub-0024,ds001486,sub-024,9.96,female,right,Both Parents,4,5,58,113,29,117,30,100,51,95,66,D,104,116,17,12,14,10,32,11,31,12,106,109,39,55,19,50,29,62,26,61,117,113,111,108,228,112
ds001486_sub-0025,ds001486,sub-025,11.99,male,right,Both Parents,4,5,63,112,29,113,38,117,101,114,73,D,111,114,19,12,16,11,29,10,28,12,109,106,43,51,42,60,33,61,30,63,112,109,123,119,235,116
ds001486_sub-0026,ds001486,sub-026,10.92,female,right,Both Parents,4,3,66,125,25,105,32,102,65,100,65,D,100,117,19,13,11,8,28,12,35,10,103,106,53,69,33,59,25,51,25,56,120,116,115,111,235,116
ds001486_sub-0027,ds001486,sub-027,10.09,female,right,Both Parents,4,5,65,126,29,118,36,119,77,113,77,D,129,129,19,14,18,14,12,12,12,12,124,112,55,80,43,70,30,65,30,70,145,141,140,137,285,144
ds001486_sub-0028,ds001486,sub-028,11.64,female,right,Both Parents,5,4,60,109,23,100,28,91,77,103,63,D,96,105,17,10,8,6,24,13,26,13,88,118,31,38,12,40,26,50,16,39,88,90,79,84,167,86
ds001486_sub-0029,ds001486,sub-029,9.89,male,right,Mother (Adoptive Home),5,n/a,51,101,25,70,23,22,46,91,68,D,108,105,12,9,9,6,31,11,30,13,85,112,32,45,16,48,25,54,22,53,99,99,101,100,200,100
ds001486_sub-0030,ds001486,sub-030,11.39,female,right,Both Parents,3,2,59,107,28,111,34,106,98,115,74,D,115,110,17,10,17,12,22,14,33,9,106,109,50,62,38,60,35,68,25,55,130,126,115,111,245,121
ds001486_sub-0031,ds001486,sub-031,11.52,female,right,Both Parents,4,4,62,113,25,103,36,113,66,94,70,D,107,109,17,10,18,9,35,8,45,6,109,82,54,68,47,66,32,62,27,59,130,126,125,121,255,127
ds001486_sub-0032,ds001486,sub-032,9.22,male,right,Mother,5,5,55,112,28,117,35,121,66,114,62,D,100,115,19,14,19,15,28,13,32,12,127,115,40,61,24,57,33,73,26,64,134,130,121,118,255,127
ds001486_sub-0033,ds001486,sub-033,11.77,female,right,Mother,5,5,66,123,28,111,34,106,99,118,69,D,105,119,19,12,20,15,30,10,34,9,121,97,51,63,33,56,36,70,29,63,133,129,119,116,252,125
ds001486_sub-0034,ds001486,sub-034,9.97,female,right,Both Parents,5,3,61,119,25,109,33,112,50,92,58,D,94,115,19,14,18,14,28,14,31,12,124,115,54,79,13,46,34,73,23,56,152,148,102,101,254,126
ds001486_sub-0035,ds001486,sub-035,10.94,male,right,Both Parents,5,5,60,111,24,102,31,98,80,104,63,D,97,107,8,6,20,15,21,15,27,13,103,124,41,52,12,41,27,54,27,59,106,105,100,99,206,102
ds001486_sub-0036,ds001486,sub-036,10.12,male,right,Mother,4,5,55,108,24,106,31,104,55,100,62,D,98,108,17,12,12,9,37,9,36,11,103,100,39,55,16,48,24,52,21,52,107,106,100,99,207,103
ds001486_sub-0037,ds001486,sub-037,12.51,male,right,Both Parents,3,4,35,66,9,80,17,63,52,77,65,D,97,72,8,5,11,8,30,9,36,8,79,91,40,45,11,35,31,55,27,57,100,99,92,93,192,97
ds001486_sub-0038,ds001486,sub-038,13.88,male,right,Both Parents,4,4,73,130,27,102,39,114,94,99,76,D,115,118,19,12,19,14,32,7,25,12,118,97,69,77,67,70,40,68,30,59,145,141,129,126,274,138
ds001486_sub-0039,ds001486,sub-039,13.4,female,right,Mother,3,2,58,95,15,86,32,93,70,85,70,D,103,91,6,4,16,11,32,7,38,6,85,79,38,41,28,46,25,41,21,42,82,87,88,90,170,87
ds001486_sub-0040,ds001486,sub-040,12.73,male,right,Both Parents,3,3,66,116,30,117,33,98,109,114,65,D,96,119,19,12,18,13,22,13,24,14,115,121,37,41,21,43,26,47,26,54,88,90,97,97,185,93
ds001486_sub-0041,ds001486,sub-041,9.23,female,right,Both Parents,3,3,45,98,24,109,27,99,70,117,64,D,104,103,17,13,14,10,30,13,35,12,109,115,30,49,16,52,21,52,20,55,101,100,107,105,208,103
ds001486_sub-0042,ds001486,sub-042,10.41,female,right,Mother,3,n/a,52,100,24,104,32,104,58,94,68,D,106,102,9,6,18,13,29,11,32,11,97,106,40,54,33,60,30,62,23,53,116,112,113,109,229,113
