unique_id,n_correct_O+P+,n_correct_O+P-,n_correct_O-P+,n_correct_O-P-,n_correct_nci,n_trial_O+P+,n_trial_O+P-,n_trial_O-P+,n_trial_O-P-,n_trial,n_trial_nci,mean_acc_O+P+,mean_acc_O+P-,mean_acc_O-P+,mean_acc_O-P-,mean_acc_nci,response_bias,exclude
ds001486_sub-0002,12,0,8,0,12,12,10,10,13,45,25,1,0,0.8,0,0.48,1,accuracy < 0.5 for O+P+ & O-P- across runs
ds001486_sub-0003,12,0,6,0,12,12,10,10,14,46,26,1,0,0.6,0,0.462,1,accuracy < 0.5 for O+P+ & O-P- across runs
ds001486_sub-0004,12,7,9,12,24,12,10,10,14,46,26,1,0.7,0.9,0.857,0.923,0.14300000000000002,NA
ds001486_sub-0005,11,8,10,14,25,12,9,10,14,45,26,0.917,0.889,1,1,0.962,0.08299999999999996,NA
ds001486_sub-0006,12,3,7,12,24,12,9,10,14,45,26,1,0.333,0.7,0.857,0.923,0.14300000000000002,NA
ds001486_sub-0007,12,8,9,14,26,12,10,9,14,45,26,1,0.8,1,1,1,0,NA
ds001486_sub-0008,12,8,10,14,26,12,10,10,14,46,26,1,0.8,1,1,1,0,NA
ds001486_sub-0009,11,8,10,13,24,12,10,10,14,46,26,0.917,0.8,1,0.929,0.923,0.01200000000000001,NA
ds001486_sub-0010,12,9,9,13,25,12,10,10,14,46,26,1,0.9,0.9,0.929,0.962,0.07099999999999995,NA
ds001486_sub-0011,12,0,9,0,12,12,10,10,14,46,26,1,0,0.9,0,0.462,1,accuracy < 0.5 for O+P+ & O-P- across runs
ds001486_sub-0012,12,8,10,11,23,12,10,10,12,44,24,1,0.8,1,0.917,0.958,0.08299999999999996,NA
ds001486_sub-0013,12,4,9,14,26,12,10,10,14,46,26,1,0.4,0.9,1,1,0,NA
ds001486_sub-0014,10,7,6,10,20,12,9,8,11,40,23,0.833,0.778,0.75,0.909,0.87,0.07600000000000007,NA
ds001486_sub-0015,10,8,9,11,21,12,10,10,14,46,26,0.833,0.8,0.9,0.786,0.808,0.04699999999999993,NA
ds001486_sub-0016,12,9,10,14,26,12,10,10,14,46,26,1,0.9,1,1,1,0,NA
ds001486_sub-0017,10,10,8,13,23,11,10,10,14,45,25,0.909,1,0.8,0.929,0.92,0.020000000000000018,NA
ds001486_sub-0018,12,10,9,14,26,12,10,9,14,45,26,1,1,1,1,1,0,NA
