unique_id,dataset,participant_id,session,task,acquisition,run,onset,duration,trial_type,condition,response_time,accuracy,stim1,stim2
ds001486_sub-0001,ds001486,sub-001,ses-T1,task-Rhyming,,run-01,0,4.012,2,O+P-,2.418,0,post,cost
ds001486_sub-0001,ds001486,sub-001,ses-T1,task-Rhyming,,run-01,4.012,3.009,5,control,0.673,1,n/a,/BLUEbox.bmp
ds001486_sub-0001,ds001486,sub-001,ses-T1,task-Rhyming,,run-01,7.021,4.414,6,perceptual,1.37,1,task-Rhyming/perceptual_o.bmp,task-Rhyming/perceptual_p.bmp
ds001486_sub-0001,ds001486,sub-001,ses-T1,task-Rhyming,,run-01,11.435,4.012,3,O-P+,1.35,1,rum,numb
ds001486_sub-0001,ds001486,sub-001,ses-T1,task-Rhyming,,run-01,15.447,3.811,5,control,NA,0,n/a,/BLUEbox.bmp
ds001486_sub-0001,ds001486,sub-001,ses-T1,task-Rhyming,,run-01,19.258,4.012,6,perceptual,1.292,0,task-Rhyming/perceptual_c.bmp,task-Rhyming/perceptual_u.bmp
ds001486_sub-0001,ds001486,sub-001,ses-T1,task-Rhyming,,run-01,23.27,4.012,1,O+P+,1.485,1,fought,sought
ds001486_sub-0001,ds001486,sub-001,ses-T1,task-Rhyming,,run-01,27.282,4.012,1,O+P+,1.284,1,scheme,theme
ds001486_sub-0001,ds001486,sub-001,ses-T1,task-Rhyming,,run-01,31.294,4.012,6,perceptual,1.358,1,task-Rhyming/perceptual_m.bmp,task-Rhyming/perceptual_n.bmp
ds001486_sub-0001,ds001486,sub-001,ses-T1,task-Rhyming,,run-01,35.306,4.413,1,O+P+,1.287,1,stool,fool
ds001486_sub-0001,ds001486,sub-001,ses-T1,task-Rhyming,,run-01,39.719,3.41,5,control,NA,0,n/a,/BLUEbox.bmp
ds001486_sub-0001,ds001486,sub-001,ses-T1,task-Rhyming,,run-01,43.129,4.414,1,O+P+,2.044,1,soak,oak
