unique_id,acquisition,run,n_correct_O+P+,n_correct_O+P-,n_correct_O-P+,n_correct_O-P-,n_trial_O+P+,n_trial_O+P-,n_trial_O-P+,n_trial_O-P-,mean_acc_O+P+,mean_acc_O+P-,mean_acc_O-P+,mean_acc_O-P-,n_trial
ds006239_sub-1122,acq-D2S0201,run-1,10,8,10,11,12,12,12,12,0.833,0.667,0.833,0.917,48
ds006239_sub-1122,acq-D2S0301,run-2,12,10,10,8,12,12,12,12,1,0.833,0.833,0.667,48
ds006239_sub-1122,acq-D3S0201,run-1,12,8,10,11,12,12,12,12,1,0.667,0.833,0.917,48
ds006239_sub-1181,acq-D2S0201,run-1,10,6,10,9,12,12,12,12,0.833,0.5,0.833,0.75,48
ds006239_sub-1181,acq-D2S0301,run-2,0,0,3,3,12,12,12,12,0,0,0.25,0.25,48
ds006239_sub-1181,acq-D2S1001,run-2,10,8,12,10,12,12,12,12,0.833,0.667,1,0.833,48
ds006239_sub-1197,acq-D2S0201,run-1,10,5,9,8,12,12,12,12,0.833,0.417,0.75,0.667,48
ds006239_sub-1197,acq-D2S0301,run-2,7,6,10,8,12,12,12,12,0.583,0.5,0.833,0.667,48
ds006239_sub-1197,acq-D2S0601,run-1,10,6,8,10,12,12,12,12,0.833,0.5,0.667,0.833,48
ds006239_sub-1197,acq-D2S0901,run-2,11,5,10,10,12,12,12,12,0.917,0.417,0.833,0.833,48
ds006239_sub-1204,acq-D2S0201,run-1,10,6,8,9,12,12,12,12,0.833,0.5,0.667,0.75,48
ds006239_sub-1204,acq-D2S0301,run-2,8,7,11,9,12,12,12,12,0.667,0.583,0.917,0.75,48
ds006239_sub-1204,acq-D2S0801,run-1,7,7,5,10,12,12,12,12,0.583,0.583,0.417,0.833,48
ds006239_sub-1219,acq-D1S0601,run-1,5,1,6,6,12,12,12,12,0.417,0.083,0.5,0.5,48
ds006239_sub-1219,acq-D1S0901,run-2,7,5,9,6,12,12,12,12,0.583,0.417,0.75,0.5,48
ds006239_sub-1219,acq-D2S0301,run-1,4,4,5,6,12,12,12,12,0.333,0.333,0.417,0.5,48
ds006239_sub-1219,acq-D2S0401,run-2,6,4,8,3,12,12,12,12,0.5,0.333,0.667,0.25,48
ds006239_sub-1255,acq-D2S0601,run-1,8,9,5,11,12,12,12,12,0.667,0.75,0.417,0.917,48
ds006239_sub-1255,acq-D2S1101,run-2,5,10,5,11,12,12,12,12,0.417,0.833,0.417,0.917,48
ds006239_sub-1255,acq-D3S0401,run-1,9,5,11,9,12,12,12,12,0.75,0.417,0.917,0.75,48
