unique_id,n_correct_O+P+,n_correct_O-P-,n_correct_nci,n_trial_O+P+,n_trial_O-P-,n_trial_nci,mean_acc_O+P+,mean_acc_O-P-,mean_acc_nci,response_bias,exclude
ds006239_sub-1002,24,22,46,24,24,48,1,0.917,0.958,0.08299999999999996,NA
ds006239_sub-1076,21,20,41,24,24,48,0.875,0.833,0.854,0.04200000000000004,NA
ds006239_sub-1079,19,21,40,24,24,48,0.792,0.875,0.833,0.08299999999999996,NA
ds006239_sub-1080,24,23,47,24,24,48,1,0.958,0.979,0.04200000000000004,NA
ds006239_sub-1081,17,22,39,24,24,48,0.708,0.917,0.812,0.20900000000000007,NA
ds006239_sub-1082,16,17,33,24,24,48,0.667,0.708,0.688,0.040999999999999925,NA
ds006239_sub-1086,24,24,48,24,24,48,1,1,1,0,NA
ds006239_sub-1089,24,22,46,24,24,48,1,0.917,0.958,0.08299999999999996,NA
ds006239_sub-1090,22,22,44,24,24,48,0.917,0.917,0.917,0,NA
ds006239_sub-1101,24,24,48,24,24,48,1,1,1,0,NA
ds006239_sub-1102,24,24,48,24,24,48,1,1,1,0,NA
ds006239_sub-1103,24,15,39,24,24,48,1,0.625,0.812,0.375,NA
ds006239_sub-1105,22,21,43,24,24,48,0.917,0.875,0.896,0.04200000000000004,NA
ds006239_sub-1107,24,24,48,24,24,48,1,1,1,0,NA
ds006239_sub-1110,24,23,47,24,24,48,1,0.958,0.979,0.04200000000000004,NA
ds006239_sub-1111,23,24,47,24,24,48,0.958,1,0.979,0.04200000000000004,NA
ds006239_sub-1116,24,23,47,24,24,48,1,0.958,0.979,0.04200000000000004,NA
ds006239_sub-1117,23,23,46,24,24,48,0.958,0.958,0.958,0,NA
ds006239_sub-1119,22,22,44,24,24,48,0.917,0.917,0.917,0,NA
ds006239_sub-1129,20,20,40,24,24,48,0.833,0.833,0.833,0,NA
ds006239_sub-1130,23,24,47,24,24,48,0.958,1,0.979,0.04200000000000004,NA
ds006239_sub-1148,19,21,40,24,24,48,0.792,0.875,0.833,0.08299999999999996,NA
ds006239_sub-1156,23,24,47,24,24,48,0.958,1,0.979,0.04200000000000004,NA
ds006239_sub-1160,24,23,47,24,24,48,1,0.958,0.979,0.04200000000000004,NA
ds006239_sub-1161,24,24,48,24,24,48,1,1,1,0,NA
ds006239_sub-1169,23,21,44,24,24,48,0.958,0.875,0.917,0.08299999999999996,NA
ds006239_sub-1178,24,20,44,24,24,48,1,0.833,0.917,0.16700000000000004,NA
ds006239_sub-1180,23,24,47,24,24,48,0.958,1,0.979,0.04200000000000004,NA
ds006239_sub-1187,24,23,47,24,24,48,1,0.958,0.979,0.04200000000000004,NA
ds006239_sub-1190,23,24,47,24,24,48,0.958,1,0.979,0.04200000000000004,NA
ds006239_sub-1191,24,19,43,24,24,48,1,0.792,0.896,0.20799999999999996,NA
ds006239_sub-1192,24,23,47,24,24,48,1,0.958,0.979,0.04200000000000004,NA
ds006239_sub-1193,22,22,44,24,24,48,0.917,0.917,0.917,0,NA
ds006239_sub-1194,23,23,46,24,24,48,0.958,0.958,0.958,0,NA
ds006239_sub-1195,24,23,47,24,24,48,1,0.958,0.979,0.04200000000000004,NA
ds006239_sub-1196,21,23,44,24,24,48,0.875,0.958,0.917,0.08299999999999996,NA
ds006239_sub-1198,22,23,45,24,24,48,0.917,0.958,0.938,0.040999999999999925,NA
ds006239_sub-1199,21,22,43,24,24,48,0.875,0.917,0.896,0.04200000000000004,NA
ds006239_sub-1205,23,19,42,24,24,48,0.958,0.792,0.875,0.16599999999999993,NA
