record_id	WJ-III_WordID_Raw	WJ-III_WordID_StS	WJ-III_ReadFluency_Raw	WJ-III_ReadFluency_StS
1002	69	122	97	106
1076	55	94	64	110
1077	65	108	73	113
1078	59	108	51	106
1079	61	111	54	107
1080	69	128	86	139
1081	50	94	51	106
1082	50	94	40	97
1083	73	117	74	104
1084	64	115	76	128
1086	66	125	57	114
1089	72	112	98	121
1090	56	95	60	106
1091	61	112	53	107
1101	75	126	98	122
1102	68	125	63	114
1103	72	123	79	115
1105	64	120	47	102
1107	62	106	56	104
1110	61	104	67	114
1111	62	106	61	108
1116	63	102	68	107
1117	68	130	63	119
1118	66	116	93	139
1119	67	115	72	116
1122	60	111	50	106
1129	49	73	42	79
1130	61	108	61	112
1131	65	113	55	103
1148	58	108	50	107
1156	62	106	92	137
1160	74	128	98	129
1161	68	109	84	116
1169	63	112	56	106
1178	60	103	54	104
1180	69	121	93	135
1181	65	113	55	103
1184	56	113	61	99
1185	67	98	66	96
1187	68	118	79	122
1190	65	104	72	110
1191	64	112	68	117
1192	63	116	62	118
1193	64	117	74	126
1194	71	119	68	105
1195	66	120	96	146
1196	71	122	98	151
1197	50	95	39	95
1198	62	113	59	113
1199	61	91	55	88
1203	70	125	53	101
1204	53	96	39	93
1205	64	107	85	127
1206	62	96	72	106
1208	70	108	85	113
1209	63	106	57	101
1210	66	97	77	105
1211	68	124	76	127
1213	60	112	60	117
1219	34	68	29	80
1220	42	82	41	93
1223	62	116	57	114
1225	57	93	58	101
1228	46	88	41	97
1229	58	93	75	113
1231	43	55	34	70
1240	62	95	84	116
1246	48	94	40	99
1247	65	123	64	119
1248	66	115	74	121
1250	63	91	43	76
1251	64	96	37	70
1252	57	84	47	82
1255	47	92	35	92
1257	54	92	22	69
1265	61	112	48	104
1268	42	81	30	81
1269	68	101	96	118
1276	25	38	14	42
1277	62	103	48	90
1278	68	127	60	115
1283	62	89	76	104
1284	63	105	73	114
1285	67	125	76	132
1287	63	92	62	93
1288	70	114	87	120
1289	69	118	69	111
1290	40	76	13	55
1291	56	95	52	99
