unique_id,dataset,participant_id,session,task,acquisition,run,onset,duration,trial_type,condition,response_time,accuracy,stim1,stim2
ds002236_sub-0001,ds002236,sub-01,,task-VisRhyme,,run-01,0,4.459,3,O-P+,2.762,1,RhymeSpell/mouth.bmp,RhymeSpell/youth1.bmp
ds002236_sub-0001,ds002236,sub-01,,task-VisRhyme,,run-01,4.459,4.443,2,O+P-,1.222,1,RhymeSpell/tone.bmp,RhymeSpell/known1.bmp
ds002236_sub-0001,ds002236,sub-01,,task-VisRhyme,,run-01,8.902,4.443,5,perceptual,1.163,1,Symbols/t.bmp,Symbols/g2.bmp
ds002236_sub-0001,ds002236,sub-01,,task-VisRhyme,,run-01,13.345,4.442,0,control,1.438,1,RhymeSpell/null.bmp,RhymeSpell/null.bmp
ds002236_sub-0001,ds002236,sub-01,,task-VisRhyme,,run-01,17.787,4.443,3,O-P+,2.025,1,RhymeSpell/pool.bmp,RhymeSpell/wool2.bmp
ds002236_sub-0001,ds002236,sub-01,,task-VisRhyme,,run-01,22.23,4.443,0,control,2.324,1,RhymeSpell/null.bmp,RhymeSpell/null.bmp
ds002236_sub-0001,ds002236,sub-01,,task-VisRhyme,,run-01,26.673,4.443,5,perceptual,1.681,1,Symbols/w.bmp,Symbols/w2.bmp
ds002236_sub-0001,ds002236,sub-01,,task-VisRhyme,,run-01,31.116,4.443,5,perceptual,1.223,1,Symbols/u.bmp,Symbols/u2.bmp
ds002236_sub-0001,ds002236,sub-01,,task-VisRhyme,,run-01,35.559,4.443,1,O+P+,1.574,1,RhymeSpell/meal.bmp,RhymeSpell/seal1.bmp
ds002236_sub-0001,ds002236,sub-01,,task-VisRhyme,,run-01,40.002,4.442,0,control,2.25,1,RhymeSpell/null.bmp,RhymeSpell/null.bmp
ds002236_sub-0001,ds002236,sub-01,,task-VisRhyme,,run-01,44.444,4.443,3,O-P+,1.95,1,RhymeSpell/low.bmp,RhymeSpell/vow1.bmp
ds002236_sub-0001,ds002236,sub-01,,task-VisRhyme,,run-01,48.887,4.443,6,perceptual_complex,1.124,1,Symbols/mfc.bmp,Symbols/mfc1.bmp
ds002236_sub-0001,ds002236,sub-01,,task-VisRhyme,,run-01,53.33,4.443,0,control,1.306,1,RhymeSpell/null.bmp,RhymeSpell/null.bmp
