unique_id,dataset,subject_id,num_repaired,total_deweighted
ds001486_sub-0004,ds001486,sub-004,0,0
ds001486_sub-0005,ds001486,sub-005,2,0.02
ds001486_sub-0006,ds001486,sub-006,0,0
ds001486_sub-0007,ds001486,sub-007,0,0
ds001486_sub-0008,ds001486,sub-008,0,0
ds001486_sub-0009,ds001486,sub-009,0,0
ds001486_sub-0010,ds001486,sub-010,0,0
ds001486_sub-0012,ds001486,sub-012,0,0
ds001486_sub-0013,ds001486,sub-013,18,0.18
ds001486_sub-0014,ds001486,sub-014,7,0.07
ds001486_sub-0015,ds001486,sub-015,7,0.07
ds001486_sub-0016,ds001486,sub-016,0,0
ds001486_sub-0017,ds001486,sub-017,0,0
ds001486_sub-0018,ds001486,sub-018,0,0
ds001486_sub-0019,ds001486,sub-019,0,0
ds001486_sub-0021,ds001486,sub-021,5,0.05
ds001486_sub-0022,ds001486,sub-022,0,0
ds001486_sub-0023,ds001486,sub-023,0,0
ds001486_sub-0024,ds001486,sub-024,0,0
ds001486_sub-0025,ds001486,sub-025,0,0
ds001486_sub-0026,ds001486,sub-026,0,0
ds001486_sub-0027,ds001486,sub-027,0,0
ds001486_sub-0028,ds001486,sub-028,0,0
ds001486_sub-0029,ds001486,sub-029,0,0
ds001486_sub-0030,ds001486,sub-030,0,0
ds001486_sub-0031,ds001486,sub-031,0,0
ds001486_sub-0032,ds001486,sub-032,2,0.02
ds001486_sub-0033,ds001486,sub-033,0,0
ds001486_sub-0034,ds001486,sub-034,0,0
ds001486_sub-0035,ds001486,sub-035,0,0
ds001486_sub-0036,ds001486,sub-036,4,0.04
ds001486_sub-0038,ds001486,sub-038,0,0
ds001486_sub-0039,ds001486,sub-039,0,0
ds001486_sub-0040,ds001486,sub-040,0,0
ds001486_sub-0041,ds001486,sub-041,0,0
ds001486_sub-0042,ds001486,sub-042,0,0
ds001486_sub-0043,ds001486,sub-043,0,0
ds001486_sub-0044,ds001486,sub-044,0,0
ds001486_sub-0045,ds001486,sub-045,0,0
ds001486_sub-0046,ds001486,sub-046,0,0
ds001486_sub-0047,ds001486,sub-047,0,0
ds001486_sub-0048,ds001486,sub-048,0,0
ds001486_sub-0049,ds001486,sub-049,0,0
ds001486_sub-0050,ds001486,sub-050,0,0
ds001486_sub-0052,ds001486,sub-052,0,0
ds001486_sub-0053,ds001486,sub-053,0,0
ds001486_sub-0054,ds001486,sub-054,4,0.04
ds001486_sub-0055,ds001486,sub-055,0,0
ds001486_sub-0056,ds001486,sub-056,0,0
ds001486_sub-0057,ds001486,sub-057,0,0
ds001486_sub-0059,ds001486,sub-059,0,0
ds001486_sub-0060,ds001486,sub-060,0,0
ds001486_sub-0061,ds001486,sub-061,0,0
ds001486_sub-0062,ds001486,sub-062,0,0
ds001486_sub-0063,ds001486,sub-063,0,0
ds001486_sub-0064,ds001486,sub-064,0,0
ds001486_sub-0065,ds001486,sub-065,4,0.04
ds001486_sub-0066,ds001486,sub-066,4,0.04
ds001486_sub-0067,ds001486,sub-067,0,0
ds001486_sub-0068,ds001486,sub-068,5,0.05
ds001486_sub-0069,ds001486,sub-069,0,0
ds001486_sub-0070,ds001486,sub-070,0,0
ds001486_sub-0071,ds001486,sub-071,2,0.02
ds001486_sub-0072,ds001486,sub-072,1,0.01
ds001486_sub-0073,ds001486,sub-073,0,0
ds001486_sub-0074,ds001486,sub-074,0,0
ds001486_sub-0075,ds001486,sub-075,0,0
ds001486_sub-0076,ds001486,sub-076,5,0.05
ds001486_sub-0077,ds001486,sub-077,0,0
ds001486_sub-0078,ds001486,sub-078,2,0.02
ds001486_sub-0079,ds001486,sub-079,0,0
ds001486_sub-0081,ds001486,sub-081,2,0.02
ds001486_sub-0082,ds001486,sub-082,0,0
ds001486_sub-0083,ds001486,sub-083,0,0
ds001486_sub-0085,ds001486,sub-085,4,0.04
ds001486_sub-0086,ds001486,sub-086,0,0
ds001486_sub-0087,ds001486,sub-087,10,0.1
ds001486_sub-0088,ds001486,sub-088,0,0
ds001486_sub-0089,ds001486,sub-089,0,0
ds001486_sub-0090,ds001486,sub-090,2,0.02
ds001486_sub-0091,ds001486,sub-091,0,0
ds001486_sub-0093,ds001486,sub-093,0,0
ds001486_sub-0094,ds001486,sub-094,0,0
ds001486_sub-0095,ds001486,sub-095,2,0.02
ds001486_sub-0096,ds001486,sub-096,2,0.02
ds001486_sub-0097,ds001486,sub-097,0,0
ds001486_sub-0098,ds001486,sub-098,0,0
ds001486_sub-0100,ds001486,sub-100,0,0
ds001486_sub-0101,ds001486,sub-101,2,0.02
ds001486_sub-0102,ds001486,sub-102,0,0
ds001486_sub-0103,ds001486,sub-103,0,0
ds001486_sub-0104,ds001486,sub-104,0,0
ds001486_sub-0105,ds001486,sub-105,2,0.02
ds001486_sub-0106,ds001486,sub-106,0,0
ds001486_sub-0108,ds001486,sub-108,0,0
ds001486_sub-0109,ds001486,sub-109,0,0
ds001486_sub-0110,ds001486,sub-110,0,0
ds001486_sub-0112,ds001486,sub-112,0,0
ds001486_sub-0113,ds001486,sub-113,0,0
ds001486_sub-0115,ds001486,sub-115,0,0
ds001486_sub-0116,ds001486,sub-116,9,0.09
ds001486_sub-0117,ds001486,sub-117,0,0
ds001486_sub-0118,ds001486,sub-118,0,0
ds001486_sub-0119,ds001486,sub-119,0,0
ds001486_sub-0120,ds001486,sub-120,0,0
ds001486_sub-0122,ds001486,sub-122,0,0
ds001486_sub-0123,ds001486,sub-123,0,0
ds001486_sub-0124,ds001486,sub-124,0,0
ds001486_sub-0125,ds001486,sub-125,0,0
ds001486_sub-0126,ds001486,sub-126,2,0.02
ds001486_sub-0127,ds001486,sub-127,0,0
ds001486_sub-0128,ds001486,sub-128,0,0
ds001486_sub-0129,ds001486,sub-129,0,0
ds001486_sub-0130,ds001486,sub-130,0,0
ds001486_sub-0131,ds001486,sub-131,0,0
ds001486_sub-0132,ds001486,sub-132,2,0.02
ds001894_sub-0001,ds001894,sub-001,0,0
ds001894_sub-0002,ds001894,sub-002,11,0.11
ds001894_sub-0003,ds001894,sub-003,0,0
ds001894_sub-0004,ds001894,sub-004,0,0
ds001894_sub-0006,ds001894,sub-006,2,0.02
ds001894_sub-0007,ds001894,sub-007,4,0.04
ds001894_sub-0008,ds001894,sub-008,8,0.08
ds001894_sub-0009,ds001894,sub-009,0,0
ds001894_sub-0010,ds001894,sub-010,0,0
ds001894_sub-0011,ds001894,sub-011,0,0
ds001894_sub-0012,ds001894,sub-012,0,0
ds001894_sub-0013,ds001894,sub-013,16,0.16
ds001894_sub-0014,ds001894,sub-014,4,0.04
ds001894_sub-0016,ds001894,sub-016,0,0
ds001894_sub-0017,ds001894,sub-017,0,0
ds001894_sub-0018,ds001894,sub-018,0,0
ds001894_sub-0019,ds001894,sub-019,7,0.07
ds001894_sub-0020,ds001894,sub-020,9,0.09
ds001894_sub-0021,ds001894,sub-021,0,0
ds001894_sub-0022,ds001894,sub-022,0,0
ds001894_sub-0023,ds001894,sub-023,2,0.02
ds001894_sub-0025,ds001894,sub-025,15,0.15
ds001894_sub-0026,ds001894,sub-026,0,0
ds001894_sub-0027,ds001894,sub-027,0,0
ds001894_sub-0029,ds001894,sub-029,0,0
ds001894_sub-0030,ds001894,sub-030,2,0.02
ds001894_sub-0032,ds001894,sub-032,2,0.02
ds001894_sub-0035,ds001894,sub-035,0,0
ds001894_sub-0036,ds001894,sub-036,0,0
ds001894_sub-0037,ds001894,sub-037,21,0.21
ds001894_sub-0038,ds001894,sub-038,0,0
ds001894_sub-0039,ds001894,sub-039,0,0
ds001894_sub-0040,ds001894,sub-040,10,0.1
ds001894_sub-0041,ds001894,sub-041,6,0.06
ds001894_sub-0043,ds001894,sub-043,0,0
ds001894_sub-0044,ds001894,sub-044,0,0
ds001894_sub-0045,ds001894,sub-045,13,0.13
ds001894_sub-0046,ds001894,sub-046,0,0
ds001894_sub-0048,ds001894,sub-048,0,0
ds001894_sub-0050,ds001894,sub-050,0,0
ds001894_sub-0052,ds001894,sub-052,0,0
ds001894_sub-0053,ds001894,sub-053,0,0
ds001894_sub-0054,ds001894,sub-054,36,0.36
ds001894_sub-0055,ds001894,sub-055,0,0
ds001894_sub-0056,ds001894,sub-056,0,0
ds001894_sub-0057,ds001894,sub-057,0,0
ds001894_sub-0058,ds001894,sub-058,31,0.31
ds001894_sub-0059,ds001894,sub-059,0,0
ds001894_sub-0060,ds001894,sub-060,0,0
ds001894_sub-0061,ds001894,sub-061,20,0.2
ds001894_sub-0062,ds001894,sub-062,0,0
ds001894_sub-0063,ds001894,sub-063,0,0
ds001894_sub-0066,ds001894,sub-066,0,0
ds001894_sub-0067,ds001894,sub-067,0,0
ds001894_sub-0068,ds001894,sub-068,0,0
ds001894_sub-0070,ds001894,sub-070,2,0.02
ds001894_sub-0071,ds001894,sub-071,0,0
ds001894_sub-0074,ds001894,sub-074,0,0
ds001894_sub-0075,ds001894,sub-075,13,0.13
ds001894_sub-0076,ds001894,sub-076,0,0
ds001894_sub-0077,ds001894,sub-077,0,0
ds001894_sub-0081,ds001894,sub-081,0,0
ds001894_sub-0082,ds001894,sub-082,0,0
ds001894_sub-0084,ds001894,sub-084,0,0
ds001894_sub-0085,ds001894,sub-085,4,0.04
ds001894_sub-0086,ds001894,sub-086,2,0.02
ds001894_sub-0087,ds001894,sub-087,0,0
ds001894_sub-0089,ds001894,sub-089,0,0
ds001894_sub-0090,ds001894,sub-090,6,0.06
ds001894_sub-0091,ds001894,sub-091,13,0.13
ds001894_sub-0093,ds001894,sub-093,0,0
ds001894_sub-0094,ds001894,sub-094,12,0.12
ds001894_sub-0096,ds001894,sub-096,4,0.04
ds001894_sub-0098,ds001894,sub-098,0,0
ds001894_sub-0100,ds001894,sub-100,8,0.08
ds001894_sub-0101,ds001894,sub-101,0,0
ds001894_sub-0102,ds001894,sub-102,0,0
ds001894_sub-0104,ds001894,sub-104,14,0.14
ds001894_sub-0108,ds001894,sub-108,0,0
ds001894_sub-0110,ds001894,sub-110,0,0
ds001894_sub-0111,ds001894,sub-111,0,0
ds001894_sub-0112,ds001894,sub-112,0,0
ds001894_sub-0115,ds001894,sub-115,5,0.05
ds001894_sub-0116,ds001894,sub-116,0,0
ds001894_sub-0117,ds001894,sub-117,0,0
ds001894_sub-0119,ds001894,sub-119,1,0.01
ds001894_sub-0120,ds001894,sub-120,0,0
ds001894_sub-0123,ds001894,sub-123,0,0
ds001894_sub-0125,ds001894,sub-125,0,0
ds001894_sub-0127,ds001894,sub-127,23,0.23
ds001894_sub-0128,ds001894,sub-128,0,0
ds001894_sub-0131,ds001894,sub-131,4,0.04
ds001894_sub-0132,ds001894,sub-132,0,0
ds001894_sub-0133,ds001894,sub-133,0,0
ds001894_sub-0134,ds001894,sub-134,0,0
ds001894_sub-0135,ds001894,sub-135,0,0
ds001894_sub-0136,ds001894,sub-136,10,0.1
ds001894_sub-0138,ds001894,sub-138,6,0.06
ds001894_sub-0139,ds001894,sub-139,0,0
ds001894_sub-0140,ds001894,sub-140,3,0.03
ds001894_sub-0141,ds001894,sub-141,0,0
ds001894_sub-0143,ds001894,sub-143,0,0
ds001894_sub-0144,ds001894,sub-144,7,0.07
ds001894_sub-0146,ds001894,sub-146,2,0.02
ds001894_sub-0148,ds001894,sub-148,0,0
ds001894_sub-0150,ds001894,sub-150,0,0
ds001894_sub-0152,ds001894,sub-152,3,0.03
ds001894_sub-0157,ds001894,sub-157,0,0
ds001894_sub-0159,ds001894,sub-159,2,0.02
