unique_id,roi,num_nan,num_voxel,pct_nan,exclude
ds001486_sub-0004,Left IFG,13,3567,0.36,FALSE
ds001486_sub-0005,Left IFG,0,3567,0,FALSE
ds001486_sub-0006,Left IFG,2,3567,0.06,FALSE
ds001486_sub-0007,Left IFG,39,3567,1.09,FALSE
ds001486_sub-0008,Left IFG,11,3567,0.31,FALSE
ds001486_sub-0009,Left IFG,3,3567,0.08,FALSE
ds001486_sub-0010,Left IFG,3,3567,0.08,FALSE
ds001486_sub-0012,Left IFG,67,3567,1.88,FALSE
ds001486_sub-0013,Left IFG,26,3567,0.73,FALSE
ds001486_sub-0014,Left IFG,5,3567,0.14,FALSE
ds001486_sub-0015,Left IFG,32,3567,0.9,FALSE
ds001486_sub-0016,Left IFG,57,3567,1.6,FALSE
ds001486_sub-0017,Left IFG,13,3567,0.36,FALSE
ds001486_sub-0018,Left IFG,10,3567,0.28,FALSE
ds001486_sub-0019,Left IFG,13,3567,0.36,FALSE
ds001486_sub-0020,Left IFG,5,3567,0.14,FALSE
ds001486_sub-0021,Left IFG,4,3567,0.11,FALSE
ds001486_sub-0022,Left IFG,18,3567,0.5,FALSE
ds001486_sub-0023,Left IFG,0,3567,0,FALSE
ds001486_sub-0024,Left IFG,1,3567,0.03,FALSE
ds001486_sub-0025,Left IFG,0,3567,0,FALSE
ds001486_sub-0026,Left IFG,3,3567,0.08,FALSE
ds001486_sub-0027,Left IFG,11,3567,0.31,FALSE
ds001486_sub-0028,Left IFG,6,3567,0.17,FALSE
ds001486_sub-0029,Left IFG,15,3567,0.42,FALSE
ds001486_sub-0030,Left IFG,48,3567,1.35,FALSE
ds001486_sub-0031,Left IFG,3,3567,0.08,FALSE
ds001486_sub-0032,Left IFG,1,3567,0.03,FALSE
ds001486_sub-0033,Left IFG,13,3567,0.36,FALSE
ds001486_sub-0034,Left IFG,0,3567,0,FALSE
ds001486_sub-0035,Left IFG,6,3567,0.17,FALSE
ds001486_sub-0036,Left IFG,0,3567,0,FALSE
ds001486_sub-0037,Left IFG,9,3567,0.25,FALSE
ds001486_sub-0038,Left IFG,17,3567,0.48,FALSE
ds001486_sub-0039,Left IFG,5,3567,0.14,FALSE
ds001486_sub-0040,Left IFG,7,3567,0.2,FALSE
ds001486_sub-0041,Left IFG,1,3567,0.03,FALSE
ds001486_sub-0042,Left IFG,32,3567,0.9,FALSE
ds001486_sub-0043,Left IFG,10,3567,0.28,FALSE
ds001486_sub-0044,Left IFG,0,3567,0,FALSE
ds001486_sub-0045,Left IFG,6,3567,0.17,FALSE
ds001486_sub-0046,Left IFG,8,3567,0.22,FALSE
ds001486_sub-0047,Left IFG,23,3567,0.64,FALSE
ds001486_sub-0048,Left IFG,0,3567,0,FALSE
ds001486_sub-0049,Left IFG,0,3567,0,FALSE
ds001486_sub-0050,Left IFG,13,3567,0.36,FALSE
ds001486_sub-0052,Left IFG,1,3567,0.03,FALSE
ds001486_sub-0053,Left IFG,21,3567,0.59,FALSE
ds001486_sub-0054,Left IFG,50,3567,1.4,FALSE
ds001486_sub-0055,Left IFG,20,3567,0.56,FALSE
ds001486_sub-0056,Left IFG,3,3567,0.08,FALSE
ds001486_sub-0057,Left IFG,1,3567,0.03,FALSE
ds001486_sub-0059,Left IFG,11,3567,0.31,FALSE
ds001486_sub-0060,Left IFG,0,3567,0,FALSE
ds001486_sub-0061,Left IFG,2,3567,0.06,FALSE
ds001486_sub-0062,Left IFG,0,3567,0,FALSE
ds001486_sub-0063,Left IFG,0,3567,0,FALSE
ds001486_sub-0064,Left IFG,30,3567,0.84,FALSE
ds001486_sub-0065,Left IFG,22,3567,0.62,FALSE
ds001486_sub-0066,Left IFG,168,3567,4.71,FALSE
ds001486_sub-0067,Left IFG,59,3567,1.65,FALSE
ds001486_sub-0068,Left IFG,17,3567,0.48,FALSE
ds001486_sub-0069,Left IFG,17,3567,0.48,FALSE
ds001486_sub-0070,Left IFG,5,3567,0.14,FALSE
ds001486_sub-0071,Left IFG,8,3567,0.22,FALSE
ds001486_sub-0072,Left IFG,22,3567,0.62,FALSE
ds001486_sub-0073,Left IFG,6,3567,0.17,FALSE
ds001486_sub-0074,Left IFG,55,3567,1.54,FALSE
ds001486_sub-0075,Left IFG,36,3567,1.01,FALSE
ds001486_sub-0076,Left IFG,8,3567,0.22,FALSE
ds001486_sub-0077,Left IFG,7,3567,0.2,FALSE
ds001486_sub-0078,Left IFG,19,3567,0.53,FALSE
ds001486_sub-0079,Left IFG,27,3567,0.76,FALSE
ds001486_sub-0081,Left IFG,94,3567,2.64,FALSE
ds001486_sub-0082,Left IFG,2,3567,0.06,FALSE
ds001486_sub-0083,Left IFG,3,3567,0.08,FALSE
ds001486_sub-0085,Left IFG,0,3567,0,FALSE
ds001486_sub-0086,Left IFG,2,3567,0.06,FALSE
ds001486_sub-0087,Left IFG,0,3567,0,FALSE
ds001486_sub-0088,Left IFG,23,3567,0.64,FALSE
ds001486_sub-0089,Left IFG,3,3567,0.08,FALSE
ds001486_sub-0090,Left IFG,29,3567,0.81,FALSE
ds001486_sub-0091,Left IFG,0,3567,0,FALSE
ds001486_sub-0093,Left IFG,0,3567,0,FALSE
ds001486_sub-0094,Left IFG,1,3567,0.03,FALSE
ds001486_sub-0095,Left IFG,5,3567,0.14,FALSE
ds001486_sub-0096,Left IFG,1,3567,0.03,FALSE
ds001486_sub-0097,Left IFG,23,3567,0.64,FALSE
ds001486_sub-0098,Left IFG,48,3567,1.35,FALSE
ds001486_sub-0100,Left IFG,0,3567,0,FALSE
ds001486_sub-0101,Left IFG,13,3567,0.36,FALSE
ds001486_sub-0102,Left IFG,8,3567,0.22,FALSE
ds001486_sub-0103,Left IFG,1,3567,0.03,FALSE
ds001486_sub-0104,Left IFG,20,3567,0.56,FALSE
ds001486_sub-0105,Left IFG,17,3567,0.48,FALSE
ds001486_sub-0106,Left IFG,0,3567,0,FALSE
ds001486_sub-0108,Left IFG,94,3567,2.64,FALSE
ds001486_sub-0109,Left IFG,9,3567,0.25,FALSE
ds001486_sub-0110,Left IFG,67,3567,1.88,FALSE
ds001486_sub-0112,Left IFG,92,3567,2.58,FALSE
ds001486_sub-0113,Left IFG,42,3567,1.18,FALSE
ds001486_sub-0114,Left IFG,15,3567,0.42,FALSE
ds001486_sub-0115,Left IFG,83,3567,2.33,FALSE
ds001486_sub-0116,Left IFG,18,3567,0.5,FALSE
ds001486_sub-0117,Left IFG,3,3567,0.08,FALSE
ds001486_sub-0118,Left IFG,37,3567,1.04,FALSE
ds001486_sub-0119,Left IFG,3,3567,0.08,FALSE
ds001486_sub-0120,Left IFG,12,3567,0.34,FALSE
ds001486_sub-0122,Left IFG,2,3567,0.06,FALSE
ds001486_sub-0123,Left IFG,38,3567,1.07,FALSE
ds001486_sub-0124,Left IFG,29,3567,0.81,FALSE
ds001486_sub-0125,Left IFG,4,3567,0.11,FALSE
ds001486_sub-0126,Left IFG,85,3567,2.38,FALSE
ds001486_sub-0127,Left IFG,2,3567,0.06,FALSE
ds001486_sub-0128,Left IFG,35,3567,0.98,FALSE
ds001486_sub-0129,Left IFG,55,3567,1.54,FALSE
ds001486_sub-0130,Left IFG,8,3567,0.22,FALSE
ds001486_sub-0131,Left IFG,5,3567,0.14,FALSE
ds001486_sub-0132,Left IFG,1,3567,0.03,FALSE
ds001894_sub-0001,Left IFG,25,3567,0.7,FALSE
ds001894_sub-0002,Left IFG,0,3567,0,FALSE
ds001894_sub-0003,Left IFG,1,3567,0.03,FALSE
ds001894_sub-0004,Left IFG,5,3567,0.14,FALSE
ds001894_sub-0006,Left IFG,1,3567,0.03,FALSE
ds001894_sub-0007,Left IFG,0,3567,0,FALSE
ds001894_sub-0008,Left IFG,25,3567,0.7,FALSE
ds001894_sub-0009,Left IFG,0,3567,0,FALSE
ds001894_sub-0010,Left IFG,0,3567,0,FALSE
ds001894_sub-0011,Left IFG,11,3567,0.31,FALSE
ds001894_sub-0012,Left IFG,1,3567,0.03,FALSE
ds001894_sub-0013,Left IFG,1,3567,0.03,FALSE
ds001894_sub-0014,Left IFG,9,3567,0.25,FALSE
ds001894_sub-0016,Left IFG,9,3567,0.25,FALSE
ds001894_sub-0017,Left IFG,66,3567,1.85,FALSE
ds001894_sub-0018,Left IFG,16,3567,0.45,FALSE
ds001894_sub-0019,Left IFG,1,3567,0.03,FALSE
ds001894_sub-0020,Left IFG,0,3567,0,FALSE
ds001894_sub-0021,Left IFG,185,3567,5.19,FALSE
ds001894_sub-0022,Left IFG,5,3567,0.14,FALSE
ds001894_sub-0023,Left IFG,1,3567,0.03,FALSE
ds001894_sub-0025,Left IFG,10,3567,0.28,FALSE
ds001894_sub-0026,Left IFG,9,3567,0.25,FALSE
ds001894_sub-0027,Left IFG,16,3567,0.45,FALSE
ds001894_sub-0029,Left IFG,10,3567,0.28,FALSE
ds001894_sub-0030,Left IFG,1,3567,0.03,FALSE
ds001894_sub-0032,Left IFG,3,3567,0.08,FALSE
ds001894_sub-0035,Left IFG,12,3567,0.34,FALSE
ds001894_sub-0036,Left IFG,0,3567,0,FALSE
ds001894_sub-0037,Left IFG,3,3567,0.08,FALSE
ds001894_sub-0038,Left IFG,5,3567,0.14,FALSE
