unique_id,roi,num_nan,num_voxel,pct_nan,exclude
ds001486_sub-0004,Left vOT,111,3014,3.68,FALSE
ds001486_sub-0005,Left vOT,6,3014,0.2,FALSE
ds001486_sub-0006,Left vOT,271,3014,8.99,FALSE
ds001486_sub-0007,Left vOT,13,3014,0.43,FALSE
ds001486_sub-0008,Left vOT,36,3014,1.19,FALSE
ds001486_sub-0009,Left vOT,25,3014,0.83,FALSE
ds001486_sub-0010,Left vOT,28,3014,0.93,FALSE
ds001486_sub-0012,Left vOT,291,3014,9.65,FALSE
ds001486_sub-0013,Left vOT,120,3014,3.98,FALSE
ds001486_sub-0014,Left vOT,251,3014,8.33,FALSE
ds001486_sub-0015,Left vOT,28,3014,0.93,FALSE
ds001486_sub-0016,Left vOT,50,3014,1.66,FALSE
ds001486_sub-0017,Left vOT,86,3014,2.85,FALSE
ds001486_sub-0018,Left vOT,5,3014,0.17,FALSE
ds001486_sub-0019,Left vOT,331,3014,10.98,FALSE
ds001486_sub-0020,Left vOT,941,3014,31.22,TRUE
ds001486_sub-0021,Left vOT,44,3014,1.46,FALSE
ds001486_sub-0022,Left vOT,50,3014,1.66,FALSE
ds001486_sub-0023,Left vOT,30,3014,1,FALSE
ds001486_sub-0024,Left vOT,160,3014,5.31,FALSE
ds001486_sub-0025,Left vOT,88,3014,2.92,FALSE
ds001486_sub-0026,Left vOT,98,3014,3.25,FALSE
ds001486_sub-0027,Left vOT,3,3014,0.1,FALSE
ds001486_sub-0028,Left vOT,9,3014,0.3,FALSE
ds001486_sub-0029,Left vOT,11,3014,0.36,FALSE
ds001486_sub-0030,Left vOT,99,3014,3.28,FALSE
ds001486_sub-0031,Left vOT,124,3014,4.11,FALSE
ds001486_sub-0032,Left vOT,9,3014,0.3,FALSE
ds001486_sub-0033,Left vOT,126,3014,4.18,FALSE
ds001486_sub-0034,Left vOT,35,3014,1.16,FALSE
ds001486_sub-0035,Left vOT,255,3014,8.46,FALSE
ds001486_sub-0036,Left vOT,285,3014,9.46,FALSE
ds001486_sub-0037,Left vOT,2135,3014,70.84,TRUE
ds001486_sub-0038,Left vOT,98,3014,3.25,FALSE
ds001486_sub-0039,Left vOT,118,3014,3.92,FALSE
ds001486_sub-0040,Left vOT,141,3014,4.68,FALSE
ds001486_sub-0041,Left vOT,129,3014,4.28,FALSE
ds001486_sub-0042,Left vOT,197,3014,6.54,FALSE
ds001486_sub-0043,Left vOT,177,3014,5.87,FALSE
ds001486_sub-0044,Left vOT,23,3014,0.76,FALSE
ds001486_sub-0045,Left vOT,77,3014,2.55,FALSE
ds001486_sub-0046,Left vOT,88,3014,2.92,FALSE
ds001486_sub-0047,Left vOT,21,3014,0.7,FALSE
ds001486_sub-0048,Left vOT,35,3014,1.16,FALSE
ds001486_sub-0049,Left vOT,1,3014,0.03,FALSE
ds001486_sub-0050,Left vOT,45,3014,1.49,FALSE
ds001486_sub-0052,Left vOT,20,3014,0.66,FALSE
ds001486_sub-0053,Left vOT,124,3014,4.11,FALSE
ds001486_sub-0054,Left vOT,127,3014,4.21,FALSE
ds001486_sub-0055,Left vOT,152,3014,5.04,FALSE
ds001486_sub-0056,Left vOT,73,3014,2.42,FALSE
ds001486_sub-0057,Left vOT,3,3014,0.1,FALSE
ds001486_sub-0059,Left vOT,67,3014,2.22,FALSE
ds001486_sub-0060,Left vOT,89,3014,2.95,FALSE
ds001486_sub-0061,Left vOT,53,3014,1.76,FALSE
ds001486_sub-0062,Left vOT,38,3014,1.26,FALSE
ds001486_sub-0063,Left vOT,49,3014,1.63,FALSE
ds001486_sub-0064,Left vOT,52,3014,1.73,FALSE
ds001486_sub-0065,Left vOT,37,3014,1.23,FALSE
ds001486_sub-0066,Left vOT,10,3014,0.33,FALSE
ds001486_sub-0067,Left vOT,141,3014,4.68,FALSE
ds001486_sub-0068,Left vOT,473,3014,15.69,FALSE
ds001486_sub-0069,Left vOT,178,3014,5.91,FALSE
ds001486_sub-0070,Left vOT,171,3014,5.67,FALSE
ds001486_sub-0071,Left vOT,59,3014,1.96,FALSE
ds001486_sub-0072,Left vOT,68,3014,2.26,FALSE
ds001486_sub-0073,Left vOT,3,3014,0.1,FALSE
ds001486_sub-0074,Left vOT,97,3014,3.22,FALSE
ds001486_sub-0075,Left vOT,106,3014,3.52,FALSE
ds001486_sub-0076,Left vOT,147,3014,4.88,FALSE
ds001486_sub-0077,Left vOT,33,3014,1.09,FALSE
ds001486_sub-0078,Left vOT,183,3014,6.07,FALSE
ds001486_sub-0079,Left vOT,57,3014,1.89,FALSE
ds001486_sub-0081,Left vOT,76,3014,2.52,FALSE
ds001486_sub-0082,Left vOT,11,3014,0.36,FALSE
ds001486_sub-0083,Left vOT,145,3014,4.81,FALSE
ds001486_sub-0085,Left vOT,24,3014,0.8,FALSE
ds001486_sub-0086,Left vOT,25,3014,0.83,FALSE
ds001486_sub-0087,Left vOT,212,3014,7.03,FALSE
ds001486_sub-0088,Left vOT,96,3014,3.19,FALSE
ds001486_sub-0089,Left vOT,132,3014,4.38,FALSE
ds001486_sub-0090,Left vOT,68,3014,2.26,FALSE
ds001486_sub-0091,Left vOT,23,3014,0.76,FALSE
ds001486_sub-0093,Left vOT,27,3014,0.9,FALSE
ds001486_sub-0094,Left vOT,43,3014,1.43,FALSE
ds001486_sub-0095,Left vOT,41,3014,1.36,FALSE
ds001486_sub-0096,Left vOT,37,3014,1.23,FALSE
ds001486_sub-0097,Left vOT,42,3014,1.39,FALSE
ds001486_sub-0098,Left vOT,200,3014,6.64,FALSE
ds001486_sub-0100,Left vOT,61,3014,2.02,FALSE
ds001486_sub-0101,Left vOT,43,3014,1.43,FALSE
ds001486_sub-0102,Left vOT,63,3014,2.09,FALSE
ds001486_sub-0103,Left vOT,53,3014,1.76,FALSE
ds001486_sub-0104,Left vOT,0,3014,0,FALSE
ds001486_sub-0105,Left vOT,144,3014,4.78,FALSE
ds001486_sub-0106,Left vOT,0,3014,0,FALSE
ds001486_sub-0108,Left vOT,17,3014,0.56,FALSE
ds001486_sub-0109,Left vOT,31,3014,1.03,FALSE
ds001486_sub-0110,Left vOT,21,3014,0.7,FALSE
ds001486_sub-0112,Left vOT,35,3014,1.16,FALSE
ds001486_sub-0113,Left vOT,13,3014,0.43,FALSE
ds001486_sub-0114,Left vOT,1827,3014,60.62,TRUE
ds001486_sub-0115,Left vOT,120,3014,3.98,FALSE
ds001486_sub-0116,Left vOT,4,3014,0.13,FALSE
ds001486_sub-0117,Left vOT,173,3014,5.74,FALSE
ds001486_sub-0118,Left vOT,88,3014,2.92,FALSE
ds001486_sub-0119,Left vOT,51,3014,1.69,FALSE
ds001486_sub-0120,Left vOT,357,3014,11.84,FALSE
ds001486_sub-0122,Left vOT,28,3014,0.93,FALSE
ds001486_sub-0123,Left vOT,25,3014,0.83,FALSE
ds001486_sub-0124,Left vOT,21,3014,0.7,FALSE
ds001486_sub-0125,Left vOT,210,3014,6.97,FALSE
ds001486_sub-0126,Left vOT,7,3014,0.23,FALSE
ds001486_sub-0127,Left vOT,529,3014,17.55,FALSE
ds001486_sub-0128,Left vOT,33,3014,1.09,FALSE
ds001486_sub-0129,Left vOT,18,3014,0.6,FALSE
ds001486_sub-0130,Left vOT,0,3014,0,FALSE
ds001486_sub-0131,Left vOT,13,3014,0.43,FALSE
ds001486_sub-0132,Left vOT,28,3014,0.93,FALSE
ds001894_sub-0001,Left vOT,59,3014,1.96,FALSE
ds001894_sub-0002,Left vOT,3,3014,0.1,FALSE
ds001894_sub-0003,Left vOT,3,3014,0.1,FALSE
ds001894_sub-0004,Left vOT,183,3014,6.07,FALSE
ds001894_sub-0006,Left vOT,1,3014,0.03,FALSE
ds001894_sub-0007,Left vOT,28,3014,0.93,FALSE
ds001894_sub-0008,Left vOT,60,3014,1.99,FALSE
ds001894_sub-0009,Left vOT,251,3014,8.33,FALSE
ds001894_sub-0010,Left vOT,190,3014,6.3,FALSE
ds001894_sub-0011,Left vOT,122,3014,4.05,FALSE
ds001894_sub-0012,Left vOT,0,3014,0,FALSE
ds001894_sub-0013,Left vOT,19,3014,0.63,FALSE
ds001894_sub-0014,Left vOT,179,3014,5.94,FALSE
ds001894_sub-0016,Left vOT,10,3014,0.33,FALSE
ds001894_sub-0017,Left vOT,70,3014,2.32,FALSE
ds001894_sub-0018,Left vOT,79,3014,2.62,FALSE
ds001894_sub-0019,Left vOT,153,3014,5.08,FALSE
ds001894_sub-0020,Left vOT,129,3014,4.28,FALSE
ds001894_sub-0021,Left vOT,416,3014,13.8,FALSE
ds001894_sub-0022,Left vOT,44,3014,1.46,FALSE
ds001894_sub-0023,Left vOT,84,3014,2.79,FALSE
ds001894_sub-0025,Left vOT,52,3014,1.73,FALSE
ds001894_sub-0026,Left vOT,74,3014,2.46,FALSE
ds001894_sub-0027,Left vOT,118,3014,3.92,FALSE
ds001894_sub-0029,Left vOT,59,3014,1.96,FALSE
ds001894_sub-0030,Left vOT,34,3014,1.13,FALSE
ds001894_sub-0032,Left vOT,75,3014,2.49,FALSE
ds001894_sub-0035,Left vOT,85,3014,2.82,FALSE
ds001894_sub-0036,Left vOT,55,3014,1.82,FALSE
ds001894_sub-0037,Left vOT,99,3014,3.28,FALSE
ds001894_sub-0038,Left vOT,200,3014,6.64,FALSE
ds001894_sub-0039,Left vOT,23,3014,0.76,FALSE
ds001894_sub-0040,Left vOT,102,3014,3.38,FALSE
ds001894_sub-0041,Left vOT,67,3014,2.22,FALSE
ds001894_sub-0043,Left vOT,72,3014,2.39,FALSE
ds001894_sub-0044,Left vOT,61,3014,2.02,FALSE
ds001894_sub-0045,Left vOT,172,3014,5.71,FALSE
ds001894_sub-0046,Left vOT,150,3014,4.98,FALSE
ds001894_sub-0048,Left vOT,85,3014,2.82,FALSE
ds001894_sub-0050,Left vOT,45,3014,1.49,FALSE
ds001894_sub-0051,Left vOT,1315,3014,43.63,TRUE
ds001894_sub-0052,Left vOT,131,3014,4.35,FALSE
ds001894_sub-0053,Left vOT,22,3014,0.73,FALSE
ds001894_sub-0054,Left vOT,31,3014,1.03,FALSE
ds001894_sub-0055,Left vOT,44,3014,1.46,FALSE
ds001894_sub-0056,Left vOT,18,3014,0.6,FALSE
ds001894_sub-0057,Left vOT,88,3014,2.92,FALSE
ds001894_sub-0058,Left vOT,163,3014,5.41,FALSE
ds001894_sub-0059,Left vOT,248,3014,8.23,FALSE
ds001894_sub-0060,Left vOT,23,3014,0.76,FALSE
ds001894_sub-0061,Left vOT,143,3014,4.74,FALSE
ds001894_sub-0062,Left vOT,51,3014,1.69,FALSE
ds001894_sub-0063,Left vOT,64,3014,2.12,FALSE
ds001894_sub-0066,Left vOT,97,3014,3.22,FALSE
ds001894_sub-0067,Left vOT,26,3014,0.86,FALSE
ds001894_sub-0068,Left vOT,28,3014,0.93,FALSE
ds001894_sub-0070,Left vOT,181,3014,6.01,FALSE
ds001894_sub-0071,Left vOT,89,3014,2.95,FALSE
ds001894_sub-0074,Left vOT,42,3014,1.39,FALSE
ds001894_sub-0075,Left vOT,0,3014,0,FALSE
ds001894_sub-0076,Left vOT,88,3014,2.92,FALSE
ds001894_sub-0077,Left vOT,133,3014,4.41,FALSE
ds001894_sub-0081,Left vOT,6,3014,0.2,FALSE
ds001894_sub-0082,Left vOT,86,3014,2.85,FALSE
ds001894_sub-0084,Left vOT,20,3014,0.66,FALSE
ds001894_sub-0085,Left vOT,29,3014,0.96,FALSE
ds001894_sub-0086,Left vOT,2,3014,0.07,FALSE
ds001894_sub-0087,Left vOT,180,3014,5.97,FALSE
ds001894_sub-0089,Left vOT,33,3014,1.09,FALSE
ds001894_sub-0090,Left vOT,6,3014,0.2,FALSE
ds001894_sub-0091,Left vOT,2,3014,0.07,FALSE
ds001894_sub-0093,Left vOT,109,3014,3.62,FALSE
ds001894_sub-0094,Left vOT,106,3014,3.52,FALSE
ds001894_sub-0096,Left vOT,235,3014,7.8,FALSE
ds001894_sub-0098,Left vOT,148,3014,4.91,FALSE
ds001894_sub-0100,Left vOT,304,3014,10.09,FALSE
ds001894_sub-0101,Left vOT,8,3014,0.27,FALSE
ds001894_sub-0102,Left vOT,54,3014,1.79,FALSE
ds001894_sub-0104,Left vOT,504,3014,16.72,FALSE
ds001894_sub-0108,Left vOT,174,3014,5.77,FALSE
ds001894_sub-0110,Left vOT,69,3014,2.29,FALSE
ds001894_sub-0111,Left vOT,24,3014,0.8,FALSE
ds001894_sub-0112,Left vOT,69,3014,2.29,FALSE
ds001894_sub-0115,Left vOT,86,3014,2.85,FALSE
ds001894_sub-0116,Left vOT,107,3014,3.55,FALSE
ds001894_sub-0117,Left vOT,94,3014,3.12,FALSE
ds001894_sub-0119,Left vOT,60,3014,1.99,FALSE
ds001894_sub-0120,Left vOT,73,3014,2.42,FALSE
ds001894_sub-0123,Left vOT,36,3014,1.19,FALSE
ds001894_sub-0125,Left vOT,281,3014,9.32,FALSE
ds001894_sub-0127,Left vOT,53,3014,1.76,FALSE
ds001894_sub-0128,Left vOT,110,3014,3.65,FALSE
ds001894_sub-0131,Left vOT,84,3014,2.79,FALSE
ds001894_sub-0132,Left vOT,42,3014,1.39,FALSE
ds001894_sub-0133,Left vOT,130,3014,4.31,FALSE
ds001894_sub-0134,Left vOT,0,3014,0,FALSE
ds001894_sub-0135,Left vOT,5,3014,0.17,FALSE
ds001894_sub-0136,Left vOT,68,3014,2.26,FALSE
ds001894_sub-0138,Left vOT,240,3014,7.96,FALSE
ds001894_sub-0139,Left vOT,26,3014,0.86,FALSE
ds001894_sub-0140,Left vOT,29,3014,0.96,FALSE
ds001894_sub-0141,Left vOT,2,3014,0.07,FALSE
ds001894_sub-0143,Left vOT,4,3014,0.13,FALSE
ds001894_sub-0144,Left vOT,4,3014,0.13,FALSE
ds001894_sub-0146,Left vOT,113,3014,3.75,FALSE
ds001894_sub-0148,Left vOT,76,3014,2.52,FALSE
ds001894_sub-0150,Left vOT,15,3014,0.5,FALSE
ds001894_sub-0151,Left vOT,738,3014,24.49,TRUE
ds001894_sub-0152,Left vOT,42,3014,1.39,FALSE
ds001894_sub-0157,Left vOT,26,3014,0.86,FALSE
ds001894_sub-0159,Left vOT,7,3014,0.23,FALSE
ds001894_sub-0160,Left vOT,156,3014,5.18,FALSE
ds001894_sub-0161,Left vOT,55,3014,1.82,FALSE
ds001894_sub-0162,Left vOT,114,3014,3.78,FALSE
ds001894_sub-0163,Left vOT,19,3014,0.63,FALSE
ds001894_sub-0164,Left vOT,160,3014,5.31,FALSE
ds001894_sub-0165,Left vOT,38,3014,1.26,FALSE
ds001894_sub-0167,Left vOT,69,3014,2.29,FALSE
ds001894_sub-0168,Left vOT,30,3014,1,FALSE
ds001894_sub-0169,Left vOT,182,3014,6.04,FALSE
ds001894_sub-0170,Left vOT,3,3014,0.1,FALSE
ds001894_sub-0172,Left vOT,588,3014,19.51,FALSE
ds001894_sub-0174,Left vOT,176,3014,5.84,FALSE
ds001894_sub-0176,Left vOT,21,3014,0.7,FALSE
ds001894_sub-0177,Left vOT,189,3014,6.27,FALSE
ds001894_sub-0181,Left vOT,73,3014,2.42,FALSE
ds001894_sub-0182,Left vOT,12,3014,0.4,FALSE
ds001894_sub-0184,Left vOT,38,3014,1.26,FALSE
ds001894_sub-0185,Left vOT,145,3014,4.81,FALSE
ds001894_sub-0186,Left vOT,13,3014,0.43,FALSE
ds001894_sub-0188,Left vOT,10,3014,0.33,FALSE
ds002236_sub-0001,Left vOT,170,3014,5.64,FALSE
ds002236_sub-0002,Left vOT,117,3014,3.88,FALSE
ds002236_sub-0003,Left vOT,183,3014,6.07,FALSE
ds002236_sub-0004,Left vOT,488,3014,16.19,FALSE
ds002236_sub-0005,Left vOT,828,3014,27.47,TRUE
ds002236_sub-0006,Left vOT,148,3014,4.91,FALSE
ds002236_sub-0007,Left vOT,473,3014,15.69,FALSE
ds002236_sub-0008,Left vOT,395,3014,13.11,FALSE
ds002236_sub-0009,Left vOT,346,3014,11.48,FALSE
ds002236_sub-0010,Left vOT,420,3014,13.93,FALSE
ds002236_sub-0012,Left vOT,236,3014,7.83,FALSE
ds002236_sub-0013,Left vOT,221,3014,7.33,FALSE
ds002236_sub-0014,Left vOT,683,3014,22.66,TRUE
ds002236_sub-0016,Left vOT,270,3014,8.96,FALSE
ds002236_sub-0017,Left vOT,406,3014,13.47,FALSE
ds002236_sub-0018,Left vOT,736,3014,24.42,TRUE
ds002236_sub-0019,Left vOT,591,3014,19.61,FALSE
ds002236_sub-0021,Left vOT,46,3014,1.53,FALSE
ds002236_sub-0022,Left vOT,52,3014,1.73,FALSE
ds002236_sub-0023,Left vOT,59,3014,1.96,FALSE
ds002236_sub-0024,Left vOT,361,3014,11.98,FALSE
ds002236_sub-0025,Left vOT,227,3014,7.53,FALSE
ds002236_sub-0026,Left vOT,264,3014,8.76,FALSE
ds002236_sub-0027,Left vOT,705,3014,23.39,TRUE
ds002236_sub-0029,Left vOT,235,3014,7.8,FALSE
ds002236_sub-0030,Left vOT,715,3014,23.72,TRUE
ds002236_sub-0031,Left vOT,285,3014,9.46,FALSE
ds002236_sub-0032,Left vOT,303,3014,10.05,FALSE
ds002236_sub-0033,Left vOT,444,3014,14.73,FALSE
ds002236_sub-0035,Left vOT,156,3014,5.18,FALSE
ds002236_sub-0036,Left vOT,505,3014,16.76,FALSE
ds002236_sub-0038,Left vOT,286,3014,9.49,FALSE
ds002236_sub-0041,Left vOT,614,3014,20.37,TRUE
ds002236_sub-0042,Left vOT,452,3014,15,FALSE
ds002236_sub-0043,Left vOT,314,3014,10.42,FALSE
ds002236_sub-0044,Left vOT,411,3014,13.64,FALSE
ds002236_sub-0045,Left vOT,66,3014,2.19,FALSE
ds002236_sub-0046,Left vOT,264,3014,8.76,FALSE
ds002236_sub-0047,Left vOT,430,3014,14.27,FALSE
ds002236_sub-0048,Left vOT,126,3014,4.18,FALSE
ds002236_sub-0049,Left vOT,130,3014,4.31,FALSE
ds002236_sub-0050,Left vOT,279,3014,9.26,FALSE
ds002236_sub-0051,Left vOT,88,3014,2.92,FALSE
ds002236_sub-0052,Left vOT,206,3014,6.83,FALSE
ds002236_sub-0053,Left vOT,17,3014,0.56,FALSE
ds002236_sub-0055,Left vOT,199,3014,6.6,FALSE
ds002236_sub-0056,Left vOT,27,3014,0.9,FALSE
ds002236_sub-0057,Left vOT,59,3014,1.96,FALSE
ds002236_sub-0058,Left vOT,276,3014,9.16,FALSE
ds002236_sub-0059,Left vOT,81,3014,2.69,FALSE
ds002236_sub-0060,Left vOT,221,3014,7.33,FALSE
ds002236_sub-0061,Left vOT,141,3014,4.68,FALSE
ds002236_sub-0062,Left vOT,110,3014,3.65,FALSE
ds002236_sub-0063,Left vOT,235,3014,7.8,FALSE
ds002236_sub-0064,Left vOT,38,3014,1.26,FALSE
ds002236_sub-0065,Left vOT,23,3014,0.76,FALSE
ds002236_sub-0066,Left vOT,129,3014,4.28,FALSE
ds002236_sub-0068,Left vOT,312,3014,10.35,FALSE
ds002236_sub-0069,Left vOT,322,3014,10.68,FALSE
ds002236_sub-0071,Left vOT,427,3014,14.17,FALSE
ds002236_sub-0073,Left vOT,482,3014,15.99,FALSE
ds002236_sub-0074,Left vOT,302,3014,10.02,FALSE
ds002236_sub-0075,Left vOT,120,3014,3.98,FALSE
ds002236_sub-0076,Left vOT,593,3014,19.67,FALSE
ds002236_sub-0077,Left vOT,186,3014,6.17,FALSE
ds002236_sub-0079,Left vOT,328,3014,10.88,FALSE
ds002236_sub-0080,Left vOT,145,3014,4.81,FALSE
ds002236_sub-0081,Left vOT,232,3014,7.7,FALSE
ds002236_sub-0082,Left vOT,176,3014,5.84,FALSE
ds002236_sub-0083,Left vOT,50,3014,1.66,FALSE
ds002236_sub-0084,Left vOT,85,3014,2.82,FALSE
ds002236_sub-0090,Left vOT,95,3014,3.15,FALSE
ds006239_sub-1002,Left vOT,109,3014,3.62,FALSE
ds006239_sub-1076,Left vOT,75,3014,2.49,FALSE
ds006239_sub-1079,Left vOT,221,3014,7.33,FALSE
ds006239_sub-1080,Left vOT,32,3014,1.06,FALSE
ds006239_sub-1081,Left vOT,126,3014,4.18,FALSE
ds006239_sub-1082,Left vOT,160,3014,5.31,FALSE
ds006239_sub-1086,Left vOT,293,3014,9.72,FALSE
ds006239_sub-1089,Left vOT,307,3014,10.19,FALSE
ds006239_sub-1090,Left vOT,262,3014,8.69,FALSE
ds006239_sub-1101,Left vOT,227,3014,7.53,FALSE
ds006239_sub-1102,Left vOT,96,3014,3.19,FALSE
ds006239_sub-1103,Left vOT,91,3014,3.02,FALSE
ds006239_sub-1105,Left vOT,82,3014,2.72,FALSE
ds006239_sub-1107,Left vOT,148,3014,4.91,FALSE
ds006239_sub-1110,Left vOT,220,3014,7.3,FALSE
ds006239_sub-1111,Left vOT,131,3014,4.35,FALSE
ds006239_sub-1116,Left vOT,48,3014,1.59,FALSE
ds006239_sub-1117,Left vOT,18,3014,0.6,FALSE
ds006239_sub-1119,Left vOT,336,3014,11.15,FALSE
ds006239_sub-1122,Left vOT,17,3014,0.56,FALSE
ds006239_sub-1129,Left vOT,39,3014,1.29,FALSE
ds006239_sub-1130,Left vOT,258,3014,8.56,FALSE
ds006239_sub-1148,Left vOT,106,3014,3.52,FALSE
ds006239_sub-1156,Left vOT,191,3014,6.34,FALSE
ds006239_sub-1160,Left vOT,54,3014,1.79,FALSE
ds006239_sub-1161,Left vOT,125,3014,4.15,FALSE
ds006239_sub-1169,Left vOT,121,3014,4.01,FALSE
ds006239_sub-1178,Left vOT,69,3014,2.29,FALSE
ds006239_sub-1180,Left vOT,71,3014,2.36,FALSE
ds006239_sub-1181,Left vOT,317,3014,10.52,FALSE
ds006239_sub-1187,Left vOT,112,3014,3.72,FALSE
ds006239_sub-1190,Left vOT,210,3014,6.97,FALSE
ds006239_sub-1191,Left vOT,64,3014,2.12,FALSE
ds006239_sub-1192,Left vOT,90,3014,2.99,FALSE
ds006239_sub-1193,Left vOT,57,3014,1.89,FALSE
ds006239_sub-1194,Left vOT,122,3014,4.05,FALSE
ds006239_sub-1195,Left vOT,36,3014,1.19,FALSE
ds006239_sub-1196,Left vOT,82,3014,2.72,FALSE
ds006239_sub-1197,Left vOT,12,3014,0.4,FALSE
ds006239_sub-1198,Left vOT,16,3014,0.53,FALSE
ds006239_sub-1199,Left vOT,257,3014,8.53,FALSE
ds006239_sub-1204,Left vOT,44,3014,1.46,FALSE
ds006239_sub-1205,Left vOT,128,3014,4.25,FALSE
ds006239_sub-1206,Left vOT,81,3014,2.69,FALSE
ds006239_sub-1208,Left vOT,142,3014,4.71,FALSE
ds006239_sub-1209,Left vOT,54,3014,1.79,FALSE
ds006239_sub-1210,Left vOT,214,3014,7.1,FALSE
ds006239_sub-1211,Left vOT,179,3014,5.94,FALSE
ds006239_sub-1213,Left vOT,71,3014,2.36,FALSE
ds006239_sub-1219,Left vOT,89,3014,2.95,FALSE
ds006239_sub-1220,Left vOT,27,3014,0.9,FALSE
ds006239_sub-1223,Left vOT,50,3014,1.66,FALSE
ds006239_sub-1225,Left vOT,330,3014,10.95,FALSE
ds006239_sub-1246,Left vOT,0,3014,0,FALSE
ds006239_sub-1247,Left vOT,657,3014,21.8,TRUE
ds006239_sub-1248,Left vOT,2,3014,0.07,FALSE
ds006239_sub-1250,Left vOT,260,3014,8.63,FALSE
ds006239_sub-1252,Left vOT,148,3014,4.91,FALSE
ds006239_sub-1255,Left vOT,145,3014,4.81,FALSE
ds006239_sub-1277,Left vOT,124,3014,4.11,FALSE
ds006239_sub-1278,Left vOT,103,3014,3.42,FALSE
ds006239_sub-1283,Left vOT,154,3014,5.11,FALSE
ds006239_sub-1288,Left vOT,156,3014,5.18,FALSE
ds006239_sub-1289,Left vOT,369,3014,12.24,FALSE
