MNI_Z,GroupCount,ds001486_sub-0004,ds001486_sub-0005,ds001486_sub-0006,ds001486_sub-0007,ds001486_sub-0008,ds001486_sub-0009,ds001486_sub-0010,ds001486_sub-0012,ds001486_sub-0013,ds001486_sub-0014,ds001486_sub-0015,ds001486_sub-0016,ds001486_sub-0017,ds001486_sub-0018,ds001486_sub-0019,ds001486_sub-0021,ds001486_sub-0022,ds001486_sub-0023,ds001486_sub-0024,ds001486_sub-0025,ds001486_sub-0026,ds001486_sub-0027,ds001486_sub-0028,ds001486_sub-0029,ds001486_sub-0030,ds001486_sub-0031,ds001486_sub-0032,ds001486_sub-0033,ds001486_sub-0034,ds001486_sub-0035,ds001486_sub-0036,ds001486_sub-0038,ds001486_sub-0039,ds001486_sub-0040,ds001486_sub-0041,ds001486_sub-0042,ds001486_sub-0043,ds001486_sub-0044,ds001486_sub-0045,ds001486_sub-0046,ds001486_sub-0047,ds001486_sub-0048,ds001486_sub-0049,ds001486_sub-0050,ds001486_sub-0052,ds001486_sub-0053,ds001486_sub-0054,ds001486_sub-0055,ds001486_sub-0056,ds001486_sub-0057,ds001486_sub-0059,ds001486_sub-0060,ds001486_sub-0061,ds001486_sub-0062,ds001486_sub-0063,ds001486_sub-0064,ds001486_sub-0065,ds001486_sub-0066,ds001486_sub-0067,ds001486_sub-0068,ds001486_sub-0069,ds001486_sub-0070,ds001486_sub-0071,ds001486_sub-0072,ds001486_sub-0073,ds001486_sub-0074,ds001486_sub-0075,ds001486_sub-0076,ds001486_sub-0077,ds001486_sub-0078,ds001486_sub-0079,ds001486_sub-0081,ds001486_sub-0082,ds001486_sub-0083,ds001486_sub-0085,ds001486_sub-0086,ds001486_sub-0087,ds001486_sub-0088,ds001486_sub-0089,ds001486_sub-0090,ds001486_sub-0091,ds001486_sub-0093,ds001486_sub-0094,ds001486_sub-0095,ds001486_sub-0096,ds001486_sub-0097,ds001486_sub-0098,ds001486_sub-0100,ds001486_sub-0101,ds001486_sub-0102,ds001486_sub-0103,ds001486_sub-0104,ds001486_sub-0105,ds001486_sub-0106,ds001486_sub-0108,ds001486_sub-0109,ds001486_sub-0110,ds001486_sub-0112,ds001486_sub-0113,ds001486_sub-0115,ds001486_sub-0116,ds001486_sub-0117,ds001486_sub-0118,ds001486_sub-0119,ds001486_sub-0120,ds001486_sub-0122,ds001486_sub-0123,ds001486_sub-0124,ds001486_sub-0125,ds001486_sub-0126,ds001486_sub-0127,ds001486_sub-0128,ds001486_sub-0129,ds001486_sub-0130,ds001486_sub-0131,ds001486_sub-0132,ds001894_sub-0001,ds001894_sub-0002,ds001894_sub-0003,ds001894_sub-0004,ds001894_sub-0006,ds001894_sub-0007,ds001894_sub-0008,ds001894_sub-0009,ds001894_sub-0010,ds001894_sub-0011,ds001894_sub-0012,ds001894_sub-0013,ds001894_sub-0014,ds001894_sub-0016,ds001894_sub-0017,ds001894_sub-0018,ds001894_sub-0019,ds001894_sub-0020,ds001894_sub-0021,ds001894_sub-0022,ds001894_sub-0023,ds001894_sub-0025,ds001894_sub-0026,ds001894_sub-0027,ds001894_sub-0029,ds001894_sub-0030,ds001894_sub-0032,ds001894_sub-0035,ds001894_sub-0036,ds001894_sub-0037,ds001894_sub-0038,ds001894_sub-0039,ds001894_sub-0040,ds001894_sub-0041,ds001894_sub-0043,ds001894_sub-0044,ds001894_sub-0045,ds001894_sub-0046,ds001894_sub-0048,ds001894_sub-0050,ds001894_sub-0052,ds001894_sub-0053,ds001894_sub-0054,ds001894_sub-0055,ds001894_sub-0056,ds001894_sub-0057,ds001894_sub-0058,ds001894_sub-0059,ds001894_sub-0060,ds001894_sub-0061,ds001894_sub-0062,ds001894_sub-0063,ds001894_sub-0066,ds001894_sub-0067,ds001894_sub-0068,ds001894_sub-0070,ds001894_sub-0071,ds001894_sub-0074,ds001894_sub-0075,ds001894_sub-0076,ds001894_sub-0077,ds001894_sub-0081,ds001894_sub-0082,ds001894_sub-0084,ds001894_sub-0085,ds001894_sub-0086,ds001894_sub-0087,ds001894_sub-0089,ds001894_sub-0090,ds001894_sub-0091,ds001894_sub-0093,ds001894_sub-0094,ds001894_sub-0096,ds001894_sub-0098,ds001894_sub-0100,ds001894_sub-0101,ds001894_sub-0102,ds001894_sub-0104,ds001894_sub-0108,ds001894_sub-0110,ds001894_sub-0111,ds001894_sub-0112,ds001894_sub-0115,ds001894_sub-0116,ds001894_sub-0117,ds001894_sub-0119,ds001894_sub-0120,ds001894_sub-0123,ds001894_sub-0125,ds001894_sub-0127,ds001894_sub-0128,ds001894_sub-0131,ds001894_sub-0132,ds001894_sub-0133,ds001894_sub-0134,ds001894_sub-0135,ds001894_sub-0136,ds001894_sub-0138,ds001894_sub-0139,ds001894_sub-0140,ds001894_sub-0141,ds001894_sub-0143,ds001894_sub-0144,ds001894_sub-0146,ds001894_sub-0148,ds001894_sub-0150,ds001894_sub-0152,ds001894_sub-0157,ds001894_sub-0159,ds001894_sub-0160,ds001894_sub-0161,ds001894_sub-0162,ds001894_sub-0163,ds001894_sub-0164,ds001894_sub-0165,ds001894_sub-0167,ds001894_sub-0168,ds001894_sub-0169,ds001894_sub-0170,ds001894_sub-0172,ds001894_sub-0174,ds001894_sub-0176,ds001894_sub-0177,ds001894_sub-0181,ds001894_sub-0182,ds001894_sub-0184,ds001894_sub-0185,ds001894_sub-0186,ds001894_sub-0188,ds002236_sub-0001,ds002236_sub-0002,ds002236_sub-0003,ds002236_sub-0004,ds002236_sub-0006,ds002236_sub-0007,ds002236_sub-0008,ds002236_sub-0009,ds002236_sub-0010,ds002236_sub-0012,ds002236_sub-0013,ds002236_sub-0016,ds002236_sub-0017,ds002236_sub-0019,ds002236_sub-0021,ds002236_sub-0022,ds002236_sub-0023,ds002236_sub-0024,ds002236_sub-0025,ds002236_sub-0026,ds002236_sub-0029,ds002236_sub-0031,ds002236_sub-0032,ds002236_sub-0033,ds002236_sub-0035,ds002236_sub-0036,ds002236_sub-0038,ds002236_sub-0042,ds002236_sub-0043,ds002236_sub-0044,ds002236_sub-0045,ds002236_sub-0046,ds002236_sub-0047,ds002236_sub-0048,ds002236_sub-0049,ds002236_sub-0050,ds002236_sub-0051,ds002236_sub-0052,ds002236_sub-0053,ds002236_sub-0055,ds002236_sub-0056,ds002236_sub-0057,ds002236_sub-0058,ds002236_sub-0059,ds002236_sub-0060,ds002236_sub-0061,ds002236_sub-0062,ds002236_sub-0063,ds002236_sub-0064,ds002236_sub-0065,ds002236_sub-0066,ds002236_sub-0068,ds002236_sub-0069,ds002236_sub-0071,ds002236_sub-0073,ds002236_sub-0074,ds002236_sub-0075,ds002236_sub-0076,ds002236_sub-0077,ds002236_sub-0079,ds002236_sub-0080,ds002236_sub-0081,ds002236_sub-0082,ds002236_sub-0083,ds002236_sub-0084,ds002236_sub-0090,ds006239_sub-1002,ds006239_sub-1076,ds006239_sub-1079,ds006239_sub-1080,ds006239_sub-1081,ds006239_sub-1082,ds006239_sub-1086,ds006239_sub-1089,ds006239_sub-1090,ds006239_sub-1101,ds006239_sub-1102,ds006239_sub-1103,ds006239_sub-1105,ds006239_sub-1107,ds006239_sub-1110,ds006239_sub-1111,ds006239_sub-1116,ds006239_sub-1117,ds006239_sub-1119,ds006239_sub-1122,ds006239_sub-1129,ds006239_sub-1130,ds006239_sub-1148,ds006239_sub-1156,ds006239_sub-1160,ds006239_sub-1161,ds006239_sub-1169,ds006239_sub-1178,ds006239_sub-1180,ds006239_sub-1181,ds006239_sub-1187,ds006239_sub-1190,ds006239_sub-1191,ds006239_sub-1192,ds006239_sub-1193,ds006239_sub-1194,ds006239_sub-1195,ds006239_sub-1196,ds006239_sub-1197,ds006239_sub-1198,ds006239_sub-1199,ds006239_sub-1204,ds006239_sub-1205,ds006239_sub-1206,ds006239_sub-1208,ds006239_sub-1209,ds006239_sub-1210,ds006239_sub-1211,ds006239_sub-1213,ds006239_sub-1219,ds006239_sub-1220,ds006239_sub-1223,ds006239_sub-1225,ds006239_sub-1246,ds006239_sub-1248,ds006239_sub-1250,ds006239_sub-1252,ds006239_sub-1255,ds006239_sub-1277,ds006239_sub-1278,ds006239_sub-1283,ds006239_sub-1288,ds006239_sub-1289,ds006239_sub-1291
-26,166,150,166,95,153,145,151,154,97,104,122,166,143,127,166,112,165,143,166,162,138,124,166,159,159,166,132,157,123,151,134,0,147,153,154,134,132,129,160,137,165,161,143,166,155,155,154,166,147,126,166,146,110,159,135,166,162,155,166,156,19,114,111,156,166,166,160,166,129,157,130,154,166,156,121,147,162,121,126,149,158,157,151,143,148,165,166,108,166,166,132,145,166,115,166,158,166,163,166,166,124,166,130,144,151,81,142,166,166,98,166,0,153,166,166,166,150,166,166,165,103,166,166,138,105,108,128,166,147,132,166,142,148,135,121,83,150,148,166,123,122,126,166,150,127,119,116,106,165,136,129,130,166,147,128,160,163,119,157,140,166,165,140,134,103,164,116,159,166,133,151,154,114,131,161,166,124,128,166,119,156,162,164,109,145,166,166,132,127,113,110,32,166,166,6,122,134,146,147,163,107,145,154,166,166,88,140,138,156,166,149,166,166,141,78,166,143,166,166,166,132,144,166,166,161,166,161,155,142,165,124,137,151,166,111,163,43,109,166,77,162,166,166,140,166,166,111,157,108,82,133,62,91,98,101,110,109,99,89,75,152,134,147,98,92,100,112,108,96,87,94,77,100,84,78,102,131,107,79,133,136,101,140,126,165,116,159,153,111,145,126,140,132,87,142,152,71,85,105,81,86,109,143,61,108,113,128,90,119,152,112,139,156,150,142,166,157,136,105,120,130,143,147,164,161,142,133,150,166,166,108,159,161,123,160,128,166,134,145,157,157,88,159,166,164,143,166,155,166,155,165,161,128,154,146,154,157,156,155,154,166,155,166,166,110,166,166,132,150,132,164,145,130,152,97,160
-24,228,207,226,155,228,214,218,224,160,186,169,225,220,213,228,164,226,213,226,215,204,209,227,227,228,221,204,228,200,221,189,126,216,210,214,212,191,187,228,210,214,225,225,228,218,227,211,214,211,206,228,220,198,212,228,213,217,219,223,211,75,199,182,223,220,225,214,220,201,228,202,223,219,228,198,225,227,183,203,210,221,222,226,220,217,228,225,180,215,225,205,219,228,193,228,227,228,228,218,228,198,228,193,219,224,139,224,220,228,187,228,68,224,226,228,228,219,220,228,228,180,228,225,214,168,175,195,228,228,203,228,222,214,196,190,135,228,218,225,201,196,209,228,211,210,226,212,173,219,220,208,214,223,201,189,218,223,184,228,228,226,226,215,196,163,227,213,223,225,209,224,226,184,210,221,228,200,209,228,199,227,228,228,177,221,226,228,210,201,181,181,106,228,221,67,192,205,227,221,220,193,223,224,227,228,156,217,213,217,225,215,228,228,206,168,219,228,228,227,225,215,215,228,225,228,228,208,223,209,225,192,219,208,224,184,228,108,186,225,155,226,228,228,201,228,228,170,219,172,140,204,108,147,159,155,168,179,154,151,123,227,216,214,162,168,160,177,171,158,139,183,134,156,139,151,157,211,172,152,212,203,173,214,184,228,199,225,222,178,210,184,204,214,186,216,224,199,147,159,147,144,169,209,110,176,186,201,190,189,227,217,205,217,219,192,221,213,202,166,178,185,198,216,219,215,208,186,214,223,224,161,225,226,181,224,182,222,203,212,220,224,170,216,215,218,207,224,211,226,215,228,227,193,227,204,222,213,223,206,211,222,215,227,219,173,228,228,191,210,200,220,222,203,211,165,218
-22,316,278,314,243,316,315,316,308,251,306,250,307,308,304,314,239,296,311,306,280,298,293,316,315,314,295,291,316,283,309,261,304,289,278,289,293,263,274,310,307,295,313,310,315,297,313,282,281,283,308,315,305,315,304,315,299,303,307,311,281,211,282,288,305,303,316,290,294,271,310,274,300,299,315,280,314,309,266,298,279,285,316,312,308,307,297,307,287,295,299,310,307,316,281,316,310,304,308,305,314,293,315,267,294,302,229,316,304,308,277,315,222,303,310,316,311,314,303,313,314,271,316,308,303,259,269,298,316,316,278,312,299,293,276,278,223,306,292,304,313,288,316,304,290,304,312,301,261,305,298,309,307,293,274,274,289,300,291,309,312,303,310,297,281,263,311,279,305,303,297,313,313,272,303,305,316,306,291,314,312,312,304,316,273,313,313,316,292,286,269,282,281,314,306,190,282,308,314,300,296,309,300,300,297,302,245,304,294,295,307,287,316,314,297,274,307,314,315,314,315,294,290,314,302,302,311,277,304,281,309,279,316,294,303,272,316,214,275,310,293,288,312,309,275,312,314,269,286,270,208,276,199,224,231,222,248,248,234,224,187,302,312,300,240,258,235,265,242,232,216,301,210,234,217,246,227,308,243,219,286,284,250,289,258,308,263,307,297,252,281,252,275,284,258,314,312,312,227,228,218,212,240,276,182,269,270,286,263,266,313,306,294,286,290,255,306,274,281,241,247,246,269,281,285,282,275,257,279,303,308,230,313,301,256,278,258,305,279,284,295,301,255,283,278,293,289,300,277,304,284,310,309,260,312,282,296,277,304,265,273,299,287,311,307,245,316,316,258,277,278,282,289,275,278,240,298
-20,355,331,353,305,355,355,355,351,307,349,306,345,346,341,353,297,341,351,345,317,343,346,354,355,353,330,333,355,338,350,303,350,336,326,328,329,308,322,349,344,333,351,353,355,350,351,323,324,321,352,353,340,353,345,352,344,340,350,355,321,311,324,337,341,340,355,329,326,329,345,320,341,337,355,336,355,348,317,346,324,342,352,351,351,352,341,342,323,336,340,355,347,355,338,355,353,345,349,347,349,341,354,324,335,345,298,355,351,346,327,351,322,352,349,355,350,354,337,355,355,330,354,345,350,315,324,336,355,355,317,350,343,343,321,347,291,347,334,340,354,343,355,345,345,347,353,344,332,353,334,353,347,337,318,330,328,342,345,350,354,342,350,337,322,317,347,327,343,338,343,351,350,327,343,343,355,349,329,352,352,351,346,355,331,354,354,354,334,345,312,347,346,352,342,310,326,351,354,339,335,351,336,341,331,343,308,351,339,338,341,332,355,353,353,327,348,352,354,354,355,335,342,351,341,349,353,317,343,334,350,331,355,347,344,329,355,287,329,348,351,332,351,343,331,351,351,348,322,338,261,325,287,282,286,269,335,330,312,277,234,347,352,348,285,325,314,314,299,303,266,344,265,320,273,311,274,350,318,265,329,332,300,336,314,350,312,349,341,294,348,303,324,334,314,355,354,355,298,291,275,260,290,323,231,343,318,327,310,330,352,349,341,328,340,298,347,318,320,292,297,289,305,334,327,332,323,311,324,340,349,284,353,344,307,322,331,339,333,327,336,337,304,326,308,333,342,334,325,344,334,351,352,298,348,329,335,317,341,305,312,336,335,344,346,290,355,355,301,321,320,321,331,323,318,283,339
-18,417,407,417,413,417,417,417,417,388,417,389,412,415,411,416,374,412,414,410,385,412,414,416,417,417,393,404,417,412,416,375,417,405,401,393,395,397,400,412,409,401,413,416,417,417,416,397,396,389,417,417,408,417,411,415,414,408,415,417,393,395,396,403,405,403,417,401,392,406,412,389,411,403,417,407,417,412,393,414,398,411,414,416,417,417,414,406,392,411,411,417,412,417,411,417,417,410,414,412,414,409,416,402,406,412,388,417,416,413,396,415,390,417,414,417,415,417,402,417,417,415,417,410,417,393,416,406,417,417,388,416,409,411,402,417,368,412,407,406,417,415,417,410,412,412,417,412,410,417,402,416,413,409,392,412,402,410,412,416,417,407,413,407,397,394,411,404,408,401,408,417,412,407,410,411,417,415,396,416,415,416,413,417,412,416,417,416,406,417,387,415,414,415,406,406,397,416,417,409,402,415,401,407,398,410,406,417,404,404,406,399,417,416,417,403,416,416,417,417,417,403,415,411,409,416,417,389,408,406,415,404,417,414,415,405,417,336,409,413,417,407,414,406,400,414,414,415,392,411,338,401,384,371,371,350,403,403,414,361,314,413,416,414,365,412,410,395,396,398,358,410,342,397,356,400,356,416,392,352,398,402,386,415,396,414,394,415,410,381,417,397,400,410,402,417,417,417,413,385,359,340,380,411,331,408,357,401,397,407,397,413,410,398,408,386,411,398,390,393,378,372,375,408,401,410,396,391,394,407,417,386,417,411,382,397,404,404,409,396,408,400,374,397,370,410,412,405,400,407,412,416,417,371,408,401,401,388,408,377,385,400,408,411,408,365,417,417,373,390,407,385,399,401,386,354,403
-16,435,434,435,435,435,435,435,435,423,435,430,434,435,435,435,407,434,435,434,415,434,434,435,435,435,421,429,435,435,435,407,435,428,431,417,427,431,428,435,433,425,433,435,435,435,435,427,421,418,435,435,431,435,433,434,434,435,434,435,421,433,428,426,429,425,435,428,420,434,433,421,431,424,435,430,435,434,426,434,426,432,433,434,435,435,435,430,428,433,433,435,434,435,435,435,435,433,434,434,433,432,434,428,431,432,426,435,435,435,423,435,409,435,434,435,434,435,430,435,435,435,435,435,435,426,435,432,435,435,420,435,433,431,434,435,405,431,434,427,435,435,435,431,434,432,435,433,435,435,427,435,434,429,422,434,435,434,435,435,435,430,435,433,425,429,434,435,430,424,431,435,434,432,432,434,435,435,431,435,434,435,435,435,435,435,435,435,434,435,421,434,434,434,427,434,426,434,435,433,423,435,424,431,430,432,433,435,428,428,431,420,435,435,435,428,435,435,435,435,435,428,435,433,432,435,435,418,431,431,434,429,435,434,435,434,435,375,433,434,435,430,434,429,427,433,434,434,426,435,401,431,415,411,426,404,428,428,434,412,394,432,435,435,410,435,434,425,420,428,410,429,396,425,403,425,401,435,424,420,433,430,428,435,433,435,434,435,435,425,435,434,433,433,435,435,435,434,435,427,411,396,428,435,410,428,386,431,435,431,426,435,433,426,435,424,434,431,428,428,416,433,412,435,431,435,427,427,427,431,435,420,433,435,419,430,428,428,434,433,433,428,414,427,397,435,434,431,427,434,435,435,435,414,427,428,428,426,432,410,415,425,430,432,428,414,435,434,414,423,435,423,428,432,420,411,429
-14,354,353,354,354,354,354,354,354,354,354,354,354,354,354,354,347,353,354,354,345,354,353,354,354,354,349,354,354,354,354,347,354,352,354,344,352,353,354,354,354,351,354,354,354,354,354,353,347,350,354,354,354,354,354,354,353,354,354,354,349,354,353,353,353,348,354,352,348,354,353,352,354,349,354,354,354,354,353,354,353,354,354,354,354,354,354,353,353,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,353,354,354,354,353,354,341,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,353,352,354,354,350,353,354,351,354,354,354,353,354,354,354,354,354,354,352,354,354,353,349,354,354,354,354,354,354,353,354,354,353,354,354,354,352,350,353,354,354,354,353,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,353,354,354,354,351,354,352,354,354,353,349,354,350,354,352,354,354,354,350,351,353,346,354,354,354,353,354,354,354,354,354,352,354,353,354,354,354,347,352,354,354,352,354,354,354,354,354,325,354,354,354,353,354,352,353,354,354,354,352,354,353,353,343,350,354,350,348,353,354,351,353,353,354,354,350,354,354,351,351,353,353,354,343,353,349,351,344,354,351,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,353,351,353,354,353,353,325,353,354,353,354,354,354,351,354,353,354,354,354,353,343,354,345,354,353,354,352,351,352,353,354,349,354,354,349,354,351,353,354,354,353,353,346,354,334,354,354,354,354,354,354,354,354,350,352,353,354,352,353,344,345,352,352,353,351,348,354,353,347,352,354,352,354,353,350,352,354
-12,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,251,256,256,256,256,256,254,256,256,256,256,256,256,256,256,251,256,255,256,256,256,255,256,256,256,256,256,256,253,256,256,256,256,256,256,256,255,256,256,256,255,256,254,256,256,254,256,256,255,256,256,256,256,254,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,251,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,253,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,254,256,256,256,256,256,254,256,254,256,254,256,256,256,254,254,256,253,256,256,256,256,256,256,256,256,256,255,256,256,256,256,256,254,256,256,256,256,256,256,256,256,256,251,256,256,256,256,256,256,255,256,256,256,256,256,256,256,256,256,256,256,254,256,256,256,256,255,256,256,256,256,256,254,255,256,256,256,255,256,254,253,255,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,245,255,256,256,256,256,256,256,256,256,256,256,256,256,249,256,254,256,256,256,256,254,256,256,256,254,256,256,255,256,254,256,256,256,256,256,256,255,251,256,256,256,256,256,256,256,256,256,255,256,256,255,256,252,253,256,256,256,253,254,256,256,251,256,256,256,256,256,256,256,256
-10,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,210,212,212,212,212,212,211,212,212,212,212,212,212,212,212,210,212,212,212,212,212,212,212,212,212,212,212,212,211,212,212,212,212,212,212,212,212,212,212,212,211,212,211,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,210,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,211,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,211,212,212,212,212,212,212,212,211,212,212,210,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,211,212,212,212,212,212,212,212,212,212,212,211,212,212,212,212,212,212,212,211,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,211,212,212,212,212,212,212,212,212,212,212,212,212,212,208,212,211,212,212,212,212,211,212,212,212,211,212,212,211,212,212,212,212,212,212,212,212,211,211,212,212,212,212,212,212,212,212,212,212,212,212,212,212,211,212,212,212,212,211,212,212,212,212,212,212,212,212,212,212,212,212
-8,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,151,152,152,152,152,152,152,152,152,152,152,152,152,152,152,151,152,152,152,152,152,152,152,152,152,152,152,152,151,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,150,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,151,152,152,151,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,151,152,152,152,152,152,152,152,152,152,152,152,152,152,151,152,152,152,152,151,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,149,152,152,152,152,152,152,151,152,152,152,152,152,152,151,152,152,152,152,152,152,152,152,151,151,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,151,152,152,152,152,152,152,152,152,152,152,152
