unique_id,include95,include90,include85,include80,include75,include70,include65,include60
ds001486_sub-0004,3,5,6,6,6,6,6,6
ds001486_sub-0005,6,6,6,6,6,6,6,6
ds001486_sub-0006,3,3,4,4,5,5,6,6
ds001486_sub-0007,6,6,6,6,6,6,6,6
ds001486_sub-0008,5,6,6,6,6,6,6,6
ds001486_sub-0009,6,6,6,6,6,6,6,6
ds001486_sub-0010,6,6,6,6,6,6,6,6
ds001486_sub-0012,2,3,4,4,5,6,6,6
ds001486_sub-0013,5,5,5,6,6,6,6,6
ds001486_sub-0014,2,3,4,4,5,6,6,6
ds001486_sub-0015,6,6,6,6,6,6,6,6
ds001486_sub-0016,6,6,6,6,6,6,6,6
ds001486_sub-0017,5,6,6,6,6,6,6,6
ds001486_sub-0018,6,6,6,6,6,6,6,6
ds001486_sub-0019,1,2,3,4,5,6,6,6
ds001486_sub-0021,5,6,6,6,6,6,6,6
ds001486_sub-0022,5,6,6,6,6,6,6,6
ds001486_sub-0023,6,6,6,6,6,6,6,6
ds001486_sub-0024,2,4,6,6,6,6,6,6
ds001486_sub-0025,4,5,6,6,6,6,6,6
ds001486_sub-0026,4,6,6,6,6,6,6,6
ds001486_sub-0027,6,6,6,6,6,6,6,6
ds001486_sub-0028,6,6,6,6,6,6,6,6
ds001486_sub-0029,6,6,6,6,6,6,6,6
ds001486_sub-0030,3,6,6,6,6,6,6,6
ds001486_sub-0031,3,5,6,6,6,6,6,6
ds001486_sub-0032,6,6,6,6,6,6,6,6
ds001486_sub-0033,4,4,6,6,6,6,6,6
ds001486_sub-0034,6,6,6,6,6,6,6,6
ds001486_sub-0035,1,2,4,6,6,6,6,6
ds001486_sub-0036,5,5,5,5,5,5,5,5
ds001486_sub-0038,3,6,6,6,6,6,6,6
ds001486_sub-0039,3,5,6,6,6,6,6,6
ds001486_sub-0040,2,6,6,6,6,6,6,6
ds001486_sub-0041,2,6,6,6,6,6,6,6
ds001486_sub-0042,3,3,4,6,6,6,6,6
ds001486_sub-0043,3,4,5,6,6,6,6,6
