MNI_X,MNI_Y,MNI_Z,Overlap,Missing,Num_participants
-48,-56,-26,0,1,365
-50,-56,-26,0,1,362
-46,-54,-26,0,1,364
-48,-54,-26,0,1,364
-50,-54,-26,0,1,362
-52,-54,-26,0,1,355
-54,-54,-26,0,1,341
-56,-54,-26,0,1,316
-44,-52,-26,0,1,367
-46,-52,-26,0,1,367
-48,-52,-26,0,1,365
-50,-52,-26,0,1,361
-52,-52,-26,0,1,351
-54,-52,-26,0,1,327
-56,-52,-26,0,1,299
-42,-50,-26,0,1,369
-44,-50,-26,0,1,368
-46,-50,-26,0,1,366
-48,-50,-26,0,1,362
-50,-50,-26,0,1,352
-52,-50,-26,0,1,332
-54,-50,-26,0,1,315
-56,-50,-26,0,1,276
-40,-48,-26,0,1,369
-42,-48,-26,0,1,367
-44,-48,-26,0,1,368
-46,-48,-26,0,1,363
-48,-48,-26,0,1,354
-50,-48,-26,0,1,328
-52,-48,-26,0,1,311
-54,-48,-26,0,1,285
-56,-48,-26,0,1,245
-38,-46,-26,0,1,369
-40,-46,-26,0,1,368
-42,-46,-26,0,1,367
-44,-46,-26,0,1,362
-46,-46,-26,0,1,355
-48,-46,-26,0,1,335
-50,-46,-26,0,1,314
-52,-46,-26,0,1,277
-54,-46,-26,0,1,248
-56,-46,-26,0,1,225
-58,-46,-26,0,1,194
-36,-44,-26,0,1,370
-38,-44,-26,0,1,368
-40,-44,-26,0,1,368
-42,-44,-26,0,1,364
-44,-44,-26,0,1,357
-46,-44,-26,0,1,338
-48,-44,-26,0,1,317
-50,-44,-26,0,1,277
-52,-44,-26,0,1,250
-54,-44,-26,0,1,220
-56,-44,-26,0,1,202
-58,-44,-26,0,1,177
-34,-42,-26,0,1,370
-36,-42,-26,0,1,369
-38,-42,-26,0,1,368
-40,-42,-26,0,1,368
-42,-42,-26,0,1,360
-44,-42,-26,0,1,347
-46,-42,-26,0,1,322
-48,-42,-26,0,1,286
-50,-42,-26,0,1,252
-52,-42,-26,0,1,223
-54,-42,-26,0,1,208
-56,-42,-26,0,1,192
-58,-42,-26,0,1,177
-32,-40,-26,0,1,370
-34,-40,-26,0,1,370
-36,-40,-26,0,1,369
-38,-40,-26,0,1,368
-40,-40,-26,0,1,366
