unique_id,dataset,subject_id,run_name,repaired_num,repaired_perc,chunks_num,FD_mean,FD_num_03,FD_perc_03,num_volume
ds006239_sub-1002,ds006239,sub-1002,sub-1002_ses-1_task-ReadPhon_acq-D2S0401_run-1_bold,0,0,0,0.0839784742643077,0,0,195
ds006239_sub-1002,ds006239,sub-1002,sub-1002_ses-1_task-ReadPhon_acq-D2S0701_run-2_bold,0,0,0,0.0956046560090872,1,0.00512820512820513,195
ds006239_sub-1076,ds006239,sub-1076,sub-1076_ses-1_task-ReadPhon_acq-D2S0301_run-1_bold,4,0.0205128205128205,0,0.293601510649744,24,0.123076923076923,195
ds006239_sub-1076,ds006239,sub-1076,sub-1076_ses-1_task-ReadPhon_acq-D2S0401_run-2_bold,11,0.0564102564102564,0,0.381262025620513,34,0.174358974358974,195
ds006239_sub-1079,ds006239,sub-1079,sub-1079_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,8,0.041025641025641,0,0.445543162033497,74,0.379487179487179,195
ds006239_sub-1079,ds006239,sub-1079,sub-1079_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,11,0.0564102564102564,0,0.614035847226564,125,0.641025641025641,195
ds006239_sub-1080,ds006239,sub-1080,sub-1080_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.18235470217559,20,0.102564102564103,195
ds006239_sub-1080,ds006239,sub-1080,sub-1080_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.147197776130359,7,0.0358974358974359,195
ds006239_sub-1081,ds006239,sub-1081,sub-1081_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.131191117099487,2,0.0102564102564103,195
ds006239_sub-1081,ds006239,sub-1081,sub-1081_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.120495789569026,0,0,195
ds006239_sub-1082,ds006239,sub-1082,sub-1082_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,2,0.0102564102564103,0,0.170855488755897,18,0.0923076923076923,195
ds006239_sub-1082,ds006239,sub-1082,sub-1082_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,10,0.0512820512820513,0,0.377115456351282,48,0.246153846153846,195
ds006239_sub-1086,ds006239,sub-1086,sub-1086_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.192169827647795,19,0.0974358974358974,195
ds006239_sub-1086,ds006239,sub-1086,sub-1086_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.183662928845467,27,0.138461538461538,195
ds006239_sub-1089,ds006239,sub-1089,sub-1089_ses-1_task-ReadPhon_acq-D2S0301_run-1_bold,0,0,0,0.102999030585938,2,0.0102564102564103,195
